@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.85511,0.45350,p
0.14815,0.57295,n
0.24712,0.57066,n
0.82407,0.80679,p
0.48743,0.46693,p
0.40609,0.87151,p
0.61921,0.19742,p
0.23135,0.45839,n
0.50240,0.09034,p
0.80383,0.26203,p
0.31116,0.95284,p
0.83377,0.09533,p
0.31164,0.60059,p
0.25327,0.47191,n
0.03341,0.85139,n
0.58278,0.17892,n
0.10346,0.54830,n
0.22079,0.63518,n
0.09338,0.86590,p
0.83776,0.77271,p
0.16757,0.59687,n
0.89408,0.99327,p
0.01987,0.33002,p
0.10857,0.34950,p
0.26609,0.71942,n
0.26561,0.04190,p
0.64921,0.42892,p
0.53419,0.46517,p
0.42025,0.18337,p
0.40566,0.58717,n
0.24545,0.53104,n
0.47468,0.77840,p
0.39841,0.54412,n
0.65832,0.81452,p
0.14953,0.52054,p
0.23510,0.67339,p
0.16052,0.53096,n
0.01040,0.94442,p
0.07530,0.56231,n
0.39130,0.47850,p
0.06610,0.56705,n
0.43422,0.67916,n
0.16367,0.43759,n
0.19573,0.45252,p
0.16491,0.88124,p
0.15740,0.55941,n
0.89552,0.36733,p
0.06621,0.56751,n
0.51551,0.51523,n
0.55752,0.77745,p
0.74128,0.90901,p
0.23207,0.47597,n
0.50100,0.42219,n
0.76098,0.85079,p
0.23733,0.57701,n
0.98926,0.02277,p
0.34795,0.82163,p
0.48711,0.40308,n
0.11399,0.71856,p
0.11832,0.56808,n
0.15905,0.46912,n
0.26639,0.45598,n
0.94440,0.11529,p
0.29941,0.54804,n
0.19092,0.50892,n
0.41713,0.78129,p
0.14806,0.62467,n
0.40372,0.44459,n
0.14154,0.81212,n
0.57586,0.01269,n
0.14902,0.47272,p
0.82858,0.98167,p
0.21766,0.49245,n
0.44383,0.03008,p
0.31336,0.94523,p
0.24941,0.37653,n
0.17865,0.48858,n
0.16682,0.54345,n
0.08960,0.40020,n
0.21752,0.47045,n
0.17466,0.93846,p
0.43244,0.53011,p
0.72573,0.63782,p
0.73954,0.96873,p
0.44443,0.56592,n
0.33280,0.41329,p
0.26848,0.74517,p
0.81741,0.91391,p
0.46340,0.49261,p
0.49996,0.51808,n
0.21851,0.61551,n
0.59311,0.85717,p
0.58628,0.78185,p
0.07546,0.45421,n
0.64978,0.67644,p
0.28240,0.43345,p
0.25675,0.89444,p
0.88122,0.43404,p
0.57974,0.52147,n
0.80078,0.11099,p
0.92872,0.61588,p
0.50953,0.36429,p
0.19681,0.48407,n
0.13447,0.62031,n
0.12836,0.27679,p
0.25383,0.11432,p
0.24373,0.45205,n
0.07837,0.58060,n
0.74135,0.61019,p
0.18668,0.64349,n
0.25439,0.38352,n
0.71702,0.41665,p
0.68840,0.55395,p
0.27419,0.39014,n
0.87809,0.08528,p
0.22830,0.57396,n
0.14468,0.37145,n
0.34577,0.65099,n
0.00281,0.54859,p
0.00663,0.37731,p
0.21835,0.06016,p
0.80730,0.44916,p
