@relation SINE2
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.623,0.742,n
0.942,0.740,p
0.649,0.901,n
0.113,0.469,p
0.217,0.279,p
0.797,0.139,p
0.617,0.127,p
0.871,0.209,n
0.961,0.539,p
0.691,0.967,n
0.894,0.299,n
0.166,0.146,p
0.678,0.338,p
0.316,0.481,p
0.023,0.750,n
0.366,0.579,p
0.009,0.047,p
0.930,0.942,p
0.748,0.797,n
0.611,0.918,n
0.340,0.924,n
0.312,0.317,p
0.049,0.987,n
0.033,0.494,p
0.453,0.999,n
0.404,0.147,n
0.377,0.988,p
0.089,0.272,p
0.760,0.363,p
0.704,0.281,n
0.770,0.691,p
0.946,0.650,n
0.672,0.463,p
0.348,0.644,n
0.957,0.518,p
0.691,0.720,n
0.581,0.666,n
0.421,0.624,n
0.160,0.441,p
0.472,0.226,n
0.054,0.134,p
0.182,0.193,p
0.465,0.380,n
0.115,0.831,n
0.339,0.581,n
0.813,0.642,p
0.564,0.957,p
0.893,0.001,p
0.291,0.972,p
0.380,0.961,n
0.496,0.415,n
0.286,0.477,p
0.122,0.622,n
0.293,0.782,p
0.013,0.533,p
0.268,0.155,n
0.475,0.645,n
0.760,0.301,p
0.591,0.036,p
0.015,0.778,n
0.428,0.576,n
0.632,0.482,n
0.385,0.392,n
0.066,0.836,n
0.695,0.433,p
0.154,0.586,p
0.812,0.068,p
0.026,0.723,n
0.979,0.998,n
0.712,0.135,p
0.161,0.622,p
0.044,0.108,p
0.742,0.878,n
0.134,0.432,p
0.600,0.490,n
0.506,0.910,n
0.751,0.517,p
0.134,0.234,p
0.239,0.877,n
0.480,0.323,n
0.681,0.223,p
0.116,0.973,n
0.333,0.614,n
0.349,0.386,n
0.433,0.852,n
0.517,0.593,n
0.740,0.396,p
0.033,0.202,n
0.429,0.466,n
0.100,0.155,p
0.938,0.688,n
0.291,0.674,n
0.729,0.163,n
0.025,0.230,p
0.312,0.468,p
0.283,0.732,n
0.431,0.975,n
0.548,0.990,n
0.054,0.243,p
0.050,0.397,p
0.255,0.407,p
0.402,0.531,n
0.084,0.314,n
0.542,0.921,n
0.857,0.214,p
0.540,0.487,n
0.377,0.625,n
0.913,0.308,p
0.826,0.224,p
0.429,0.577,n
0.314,0.752,n
0.556,0.896,n
0.760,0.575,p
0.728,0.701,n
0.130,0.066,p
0.860,0.949,n
0.612,0.231,p
0.362,0.330,p
0.584,0.827,n
0.095,0.530,p
0.317,0.915,n
0.596,0.104,p
0.814,0.419,p
0.482,0.882,n
0.393,0.216,p
