@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
9.591,1.856,3.855,n
1.620,9.104,1.149,p
2.555,3.235,5.646,p
4.502,2.342,5.892,p
6.732,9.986,6.127,n
2.280,8.003,9.192,n
4.413,0.782,5.850,p
7.721,5.397,3.497,n
5.358,6.952,5.274,p
9.556,8.816,1.853,n
7.892,0.631,0.006,p
4.008,2.651,7.898,p
9.087,7.393,1.109,n
4.205,0.974,6.845,p
7.626,6.197,2.156,n
1.321,3.976,8.335,n
8.241,2.609,9.569,n
5.389,2.274,3.240,p
0.250,6.640,6.519,p
2.080,3.959,1.350,p
4.396,3.052,3.155,p
3.417,1.106,5.167,p
1.250,2.084,0.899,p
0.869,5.367,3.573,p
4.107,0.249,2.050,p
5.470,2.378,5.390,p
5.124,1.881,1.224,p
1.849,2.134,2.697,p
0.727,4.233,3.955,p
2.953,8.956,3.241,p
4.506,3.018,7.943,p
2.320,1.046,8.022,p
8.220,5.471,0.508,p
3.565,3.308,0.437,n
3.115,4.344,9.439,p
0.938,1.127,9.038,p
9.676,2.113,2.869,n
5.930,6.796,0.912,n
0.150,5.551,0.006,p
0.653,0.269,9.826,p
2.466,1.161,7.000,n
0.526,1.439,2.088,p
1.352,4.640,5.187,p
9.019,9.078,4.034,n
8.642,8.477,4.641,n
5.383,1.933,4.705,p
0.534,6.261,4.726,p
1.587,6.230,9.650,p
0.558,6.596,7.344,p
0.597,6.821,4.010,p
4.950,8.346,3.931,n
6.877,9.824,3.427,n
0.544,1.298,0.707,p
2.819,2.422,2.931,p
4.595,1.575,4.458,p
0.011,3.816,4.746,p
5.028,2.010,5.047,p
2.642,0.898,3.995,p
5.292,7.505,6.575,n
6.432,0.438,8.353,p
8.919,6.273,7.339,n
8.047,8.264,5.841,n
0.312,1.331,3.607,p
1.049,8.358,5.585,n
0.775,1.474,2.539,p
0.607,2.688,6.720,p
6.922,6.757,2.909,n
4.647,4.663,1.185,n
4.495,2.687,2.098,p
4.861,0.248,0.036,p
3.440,3.161,8.402,p
0.017,7.507,8.391,p
3.722,3.929,9.988,p
0.483,1.017,8.347,p
5.110,1.898,3.733,p
9.562,8.843,8.120,n
9.134,9.407,5.492,n
6.445,2.862,0.490,n
1.617,2.079,9.060,p
8.873,7.497,4.128,n
0.621,2.775,9.677,p
3.998,4.459,9.539,n
5.872,0.002,3.915,p
9.268,8.256,8.555,n
6.821,9.415,7.217,n
6.473,7.648,4.573,n
0.395,7.823,2.326,n
0.704,5.244,5.829,p
3.881,2.236,6.011,p
8.838,4.753,2.348,n
0.218,4.983,6.745,p
4.206,6.826,1.981,n
2.308,2.214,7.605,p
2.233,4.170,6.653,p
0.601,3.933,8.982,n
8.836,7.327,9.975,n
9.555,1.237,9.643,n
3.727,9.195,1.930,n
0.349,0.626,9.201,n
2.756,0.038,7.557,p
2.339,4.752,9.568,p
3.195,3.619,7.822,p
0.790,1.973,7.529,p
0.647,0.339,5.526,p
0.841,0.964,4.985,p
2.474,2.453,1.533,p
1.023,4.748,8.191,p
1.192,1.896,9.730,p
5.832,9.302,3.722,n
6.516,2.034,0.114,n
0.633,1.014,3.953,p
4.609,1.625,0.148,p
1.459,2.833,5.212,p
9.255,1.088,4.905,n
9.669,1.973,1.267,n
9.755,4.827,0.534,n
3.879,9.042,6.203,p
2.181,3.997,5.179,p
8.973,0.411,5.623,n
7.575,0.381,8.382,p
0.234,6.189,4.895,p
1.796,4.732,1.071,p
1.285,4.306,0.917,p
5.102,0.408,6.364,p
2.629,5.060,3.191,p
6.797,8.954,1.687,p
7.849,1.151,5.307,n
3.598,8.730,5.552,n
8.825,1.046,9.930,n
3.943,7.977,2.648,n
3.126,0.018,0.338,p
8.955,1.320,2.273,n
6.531,0.223,0.026,p
6.382,8.713,7.822,n
5.623,3.503,6.456,n
4.060,2.377,0.584,p
5.069,6.416,8.134,n
1.746,3.094,3.003,n
1.053,2.323,0.388,p
3.355,7.497,6.951,n
3.286,2.392,9.076,p
6.307,6.928,6.652,n
4.695,8.397,6.976,n
1.418,0.287,0.416,p
6.926,6.339,6.970,n
8.196,8.913,0.659,n
2.057,1.120,0.344,p
8.477,8.120,6.342,n
4.238,0.209,2.567,n
6.183,0.310,4.129,p
4.364,7.730,3.468,n
5.379,2.166,8.622,n
1.845,4.946,3.472,p
1.099,6.365,0.809,n
7.879,6.972,7.869,n
0.862,8.884,0.252,n
3.793,8.840,2.336,n
4.609,5.315,7.545,n
1.696,4.388,7.734,p
7.032,8.437,1.546,p
9.751,7.287,1.018,n
9.624,1.016,3.842,n
6.380,1.069,2.064,p
6.934,5.005,6.324,n
4.633,1.418,6.037,p
7.409,9.080,4.300,n
7.491,4.212,2.286,n
8.801,7.740,7.001,n
6.283,0.979,4.196,p
0.381,5.434,1.608,p
3.555,0.566,2.744,p
3.997,0.133,4.186,p
2.120,1.293,7.766,p
8.096,6.343,4.692,n
2.260,9.639,3.531,n
5.483,1.252,8.337,n
2.535,4.261,1.859,p
0.027,7.218,2.812,p
6.593,3.624,9.287,n
8.544,0.571,8.279,n
7.840,1.404,8.313,n
2.336,7.763,3.464,n
2.342,1.393,4.931,p
0.585,4.671,1.444,p
3.004,0.062,1.899,n
9.214,6.087,6.580,n
9.098,6.117,6.167,n
1.014,1.813,0.370,p
2.580,3.020,4.218,p
1.188,8.103,5.753,p
0.155,0.048,6.838,p
1.217,9.663,0.881,n
1.290,0.178,7.194,p
7.336,1.874,0.501,n
7.172,0.114,0.147,p
4.863,0.598,3.676,p
2.630,4.225,5.866,p
8.160,8.874,0.423,n
2.066,2.547,7.511,p
7.917,4.597,0.877,n
7.722,2.329,5.796,n
8.851,5.219,4.766,n
3.628,5.644,4.025,n
7.873,1.562,5.972,n
0.379,2.010,1.807,p
4.583,9.472,9.099,n
0.642,5.981,3.974,p
9.593,2.572,5.645,n
2.217,0.386,2.559,n
3.520,9.028,9.046,n
0.470,7.864,7.096,n
9.854,0.558,1.448,n
9.394,6.769,2.988,n
1.241,4.813,1.686,p
2.385,1.431,6.776,p
7.172,1.951,0.360,n
2.206,9.340,8.668,n
8.422,6.284,4.523,n
3.398,8.231,4.775,n
2.711,8.396,3.345,n
1.142,9.786,0.569,n
2.862,2.578,2.016,n
3.643,9.910,9.981,n
0.976,2.894,8.962,p
1.858,4.352,9.120,p
2.183,5.713,1.381,n
0.874,6.086,4.955,p
8.116,5.829,2.023,n
0.554,8.106,3.352,p
2.663,1.861,8.316,n
8.165,8.655,3.210,n
1.824,1.027,2.505,p
8.172,0.301,0.965,n
5.229,7.026,1.029,n
1.220,4.057,1.370,p
5.918,8.611,1.472,n
7.466,1.643,8.260,n
3.887,4.205,8.397,p
2.404,3.351,4.356,p
9.812,8.044,9.128,n
8.476,0.536,5.174,n
9.343,2.493,4.221,n
5.048,0.208,1.394,p
9.697,7.766,9.369,n
2.684,4.664,5.338,p
1.484,1.239,1.314,p
4.065,2.883,2.434,p
5.463,8.397,6.100,n
3.105,2.423,2.216,p
1.586,0.668,8.713,p
4.400,0.620,3.879,p
7.354,1.092,2.252,n
4.440,1.842,3.040,p
1.450,5.754,5.816,p
9.202,3.239,8.434,n
9.588,2.043,4.264,n
0.107,0.474,5.649,p
9.203,7.735,5.385,n
0.990,3.744,4.009,p
5.613,5.741,8.798,n
4.867,4.402,6.246,n
5.126,1.105,8.945,p
6.899,8.206,9.902,n
6.301,6.031,3.532,n
0.039,3.045,8.422,p
4.111,1.215,1.568,p
3.538,1.694,2.666,p
3.584,1.866,9.715,p
2.907,5.615,1.149,n
3.856,4.032,0.654,p
2.836,2.372,0.349,p
6.643,3.414,1.559,n
0.926,2.697,8.350,p
5.048,2.273,4.527,p
1.309,7.065,2.608,n
5.876,3.680,2.463,n
2.125,8.724,1.228,n
3.899,0.860,1.770,p
2.970,0.659,3.113,p
2.264,1.261,7.167,p
4.034,9.089,7.750,n
0.405,0.400,1.620,p
