@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
3.977,8.314,0.557,n
2.551,5.445,4.413,p
8.889,6.972,0.775,n
5.875,3.538,6.090,p
0.442,9.835,4.532,n
5.957,3.459,1.376,n
3.858,0.806,8.736,p
2.961,5.386,2.609,p
3.242,4.276,0.837,p
1.597,7.802,3.380,n
9.317,6.072,4.116,n
0.777,3.219,4.547,p
1.451,3.986,5.070,p
5.795,6.236,2.985,n
2.396,2.103,8.106,p
5.593,9.647,7.767,n
0.122,3.992,1.466,p
1.623,6.074,9.053,p
1.236,4.047,5.976,p
7.440,2.176,4.579,n
4.728,2.026,2.069,p
5.249,2.188,4.142,p
2.680,7.218,2.065,n
4.609,5.281,4.712,n
6.901,3.423,4.569,p
1.869,7.255,8.295,n
4.880,6.004,9.712,n
4.778,5.703,2.632,n
3.855,1.021,8.589,p
8.420,6.900,8.526,n
9.563,2.759,9.076,n
6.480,4.570,1.904,n
0.897,3.103,7.090,p
2.318,5.914,4.896,p
9.268,5.098,0.809,n
0.636,5.840,9.189,p
9.906,7.471,2.400,n
7.620,2.542,3.096,p
4.994,2.111,7.695,p
1.721,2.000,1.002,p
1.041,6.419,7.885,p
5.923,6.239,2.915,n
9.155,6.883,0.332,n
2.274,0.079,4.705,p
1.873,5.813,8.044,n
4.326,4.294,3.173,p
8.059,4.203,3.882,n
1.180,7.601,7.164,p
1.678,9.578,0.115,n
4.939,6.641,9.371,n
7.168,9.819,9.058,n
9.513,6.650,3.462,n
5.972,6.568,2.530,n
1.991,0.278,0.643,p
6.960,2.255,3.969,p
2.631,5.223,6.029,p
4.689,2.212,7.966,p
6.104,1.617,2.399,p
7.227,5.974,2.010,n
5.633,2.666,4.445,n
9.217,3.992,7.689,n
4.466,5.986,4.874,n
3.353,3.847,3.130,p
6.287,9.702,9.501,n
4.775,4.679,7.625,n
5.410,6.673,6.908,n
1.827,1.593,7.924,p
8.965,3.570,5.290,n
6.068,2.753,9.114,n
7.143,6.884,4.383,n
5.685,7.060,4.380,n
7.677,0.296,3.483,p
3.681,3.285,1.062,p
1.933,4.865,5.676,p
0.742,1.819,4.439,p
2.761,5.607,6.672,n
1.497,9.576,0.012,n
9.848,3.651,7.985,n
1.595,1.467,2.884,p
0.747,4.417,4.969,p
3.346,7.307,3.098,n
9.093,5.788,1.016,n
6.210,6.501,4.254,n
9.967,7.023,0.411,n
0.172,7.223,1.004,p
1.373,8.173,3.616,n
5.090,2.809,6.277,p
4.192,1.919,1.127,p
8.856,5.123,7.628,n
9.863,6.278,3.038,n
6.234,8.026,2.954,p
1.312,2.733,7.235,p
7.611,0.012,2.875,p
8.850,1.171,0.151,n
6.938,9.808,9.627,n
6.997,5.305,8.497,n
1.288,6.262,0.503,p
5.645,2.053,4.532,n
2.968,7.216,7.936,n
3.871,3.227,8.869,p
4.981,3.765,6.670,n
8.302,8.035,6.661,n
2.363,3.915,2.613,p
9.114,3.587,1.690,n
2.596,0.343,6.889,p
0.791,8.530,6.099,n
2.674,8.693,1.144,n
4.044,0.241,4.382,p
4.102,2.691,4.295,n
0.752,3.297,7.390,p
8.745,6.515,2.281,n
1.052,8.866,0.792,n
9.974,0.748,0.310,n
2.596,0.502,9.283,p
0.625,2.266,3.100,n
3.925,3.800,4.196,p
2.868,4.486,7.408,p
4.869,8.691,4.500,n
2.159,1.446,1.390,n
4.323,0.944,0.715,p
6.378,8.892,1.836,n
3.261,4.180,0.420,p
6.616,1.299,4.699,p
2.907,0.157,7.268,p
3.918,1.871,3.110,p
1.153,2.675,6.671,p
2.097,0.350,4.193,p
6.872,9.493,7.537,n
9.349,0.419,4.666,n
0.177,3.206,4.673,p
5.282,6.223,0.351,n
1.518,1.860,1.263,p
0.681,5.871,4.922,p
5.189,7.493,1.442,n
1.521,6.437,8.565,p
5.612,7.422,4.289,n
1.206,3.227,0.061,n
4.936,1.327,5.729,p
4.147,3.116,4.842,n
0.507,5.332,7.982,p
2.387,9.563,6.088,n
0.966,3.994,0.540,p
9.610,7.340,3.472,n
6.187,1.600,4.341,p
9.674,6.665,2.545,n
3.911,8.883,6.756,n
1.097,8.648,2.508,n
8.507,7.382,5.598,n
3.811,4.519,3.149,n
5.262,4.332,3.650,n
6.080,6.629,8.566,n
2.587,7.507,6.166,n
5.343,0.970,7.868,p
6.121,4.025,1.752,n
2.486,4.152,1.348,p
1.837,0.299,2.986,p
7.098,2.310,3.235,n
8.628,9.596,2.139,n
3.105,7.027,8.243,n
3.430,0.897,0.179,p
6.056,0.702,4.056,p
6.884,8.633,0.248,n
2.773,1.018,7.636,p
0.913,1.461,7.258,n
5.050,1.413,9.458,p
5.925,4.783,8.887,n
8.436,2.232,5.311,n
0.397,2.138,0.650,p
1.268,8.490,1.967,n
7.810,3.953,5.154,n
5.551,1.031,2.794,p
4.251,1.344,3.485,p
6.005,0.341,2.193,p
0.747,4.079,2.637,p
3.962,1.800,7.514,p
5.986,3.272,3.359,n
8.215,9.181,0.107,n
2.623,3.447,5.443,p
3.744,2.364,4.256,p
3.569,2.411,9.356,p
6.364,8.305,9.554,p
0.240,0.008,8.002,p
3.672,0.955,3.718,p
2.374,3.668,7.304,p
2.235,0.317,9.713,p
9.946,9.722,5.917,p
9.492,5.451,3.504,p
2.419,5.095,1.898,p
2.930,0.777,5.064,p
0.641,5.780,2.077,p
9.635,6.837,5.603,n
4.205,5.743,9.386,n
1.175,9.463,4.695,n
7.896,6.112,3.965,n
9.012,1.483,6.830,n
9.807,5.674,0.517,n
0.960,5.639,6.429,p
1.948,5.526,4.308,p
1.550,8.687,4.010,n
7.436,0.420,0.425,p
5.785,2.767,9.610,n
2.772,5.134,4.864,p
8.779,5.995,7.166,n
6.570,5.799,8.758,n
0.821,3.786,7.931,p
9.292,9.265,5.628,n
0.625,2.831,5.317,p
6.490,5.181,1.393,n
4.490,0.694,2.194,p
5.245,5.158,4.099,p
2.674,2.403,9.937,p
5.804,2.904,2.864,n
5.380,2.517,4.557,p
0.442,1.196,3.756,p
2.180,5.794,0.255,p
5.785,8.699,4.570,n
7.742,6.293,7.608,n
4.923,6.520,4.855,n
8.759,4.805,5.269,n
8.968,1.477,2.684,n
8.017,5.306,2.553,n
7.803,1.202,3.878,n
1.644,2.665,2.636,p
9.443,3.638,5.128,n
1.863,3.941,2.225,p
0.329,4.438,3.532,p
8.958,2.027,8.866,p
0.358,3.595,9.633,n
9.029,5.977,5.065,p
4.141,3.559,4.960,p
4.338,3.295,8.399,p
1.560,2.394,8.761,p
4.818,4.279,2.513,n
8.636,1.698,1.663,n
5.521,2.196,2.890,p
7.571,9.070,4.859,n
8.653,1.272,4.796,n
2.791,5.621,2.072,n
2.397,9.567,9.485,n
4.687,2.770,7.320,p
1.159,5.246,9.709,p
1.125,1.284,1.349,p
1.373,4.369,7.740,p
1.771,1.123,2.381,p
7.325,9.635,7.223,n
6.857,0.297,1.714,p
2.729,2.864,1.647,p
7.614,1.767,2.823,n
8.006,7.591,1.833,p
9.964,9.266,2.991,n
0.664,8.355,7.251,n
3.458,4.252,3.237,p
3.584,2.843,6.878,p
3.127,4.096,3.019,p
4.950,9.831,1.642,n
0.558,3.471,9.170,p
2.129,1.913,8.430,p
4.356,5.478,9.374,n
7.234,3.288,1.834,n
0.505,3.138,9.786,p
2.110,3.969,0.518,p
8.649,8.085,3.204,n
5.631,2.040,2.810,n
2.279,5.673,5.714,p
1.508,5.763,6.465,p
0.406,1.080,5.937,n
9.549,6.464,5.232,n
2.303,2.375,1.424,p
8.501,6.511,7.738,n
6.346,3.081,1.118,n
5.641,0.873,2.018,p
0.249,9.106,1.840,p
0.915,4.850,8.862,p
3.395,3.563,2.010,p
5.333,5.917,9.080,n
8.138,0.612,3.453,p
6.605,0.187,9.453,p
7.515,1.997,8.494,n
8.356,9.890,2.058,p
1.473,1.289,2.283,p
5.014,6.630,2.466,n
1.701,0.218,4.550,p
1.776,1.587,3.048,n
1.817,4.538,8.463,p
5.347,6.822,7.188,n
7.769,9.793,6.959,n
3.496,3.541,0.008,n
5.539,0.801,8.200,p
0.225,0.160,7.530,p
9.716,1.282,3.862,n
4.949,5.999,3.791,n
6.137,0.281,6.047,p
7.322,9.388,0.305,n
9.746,2.642,9.288,n
6.015,2.654,1.175,n
2.606,4.538,2.829,p
4.072,8.954,9.455,n
7.761,8.336,0.024,n
1.628,3.208,2.266,p
1.697,1.843,0.210,n
0.405,4.061,3.854,p
6.099,8.128,3.113,n
2.850,6.572,1.620,n
4.591,1.503,6.063,n
1.539,4.377,8.235,p
1.479,0.414,9.766,p
9.216,2.627,9.856,p
5.415,1.915,3.775,p
0.685,6.670,4.819,p
2.208,4.136,4.744,p
3.437,7.846,5.280,n
3.481,1.999,4.962,p
7.817,1.816,3.892,n
9.145,6.395,2.875,n
2.120,3.857,8.087,p
5.422,1.716,1.706,p
3.005,3.913,8.714,n
3.660,4.375,9.658,p
0.431,8.726,6.169,n
5.582,1.974,1.587,p
9.797,3.754,0.002,n
4.255,1.840,9.985,p
4.457,8.997,9.901,n
3.641,1.787,4.293,p
0.825,3.699,6.010,n
2.664,6.858,3.172,n
1.349,5.928,8.892,p
0.073,6.165,8.070,p
5.303,8.304,5.730,n
0.708,7.022,8.256,p
8.095,1.679,0.245,n
1.745,2.344,3.684,p
5.422,8.375,3.953,n
0.359,1.656,8.385,p
6.209,7.472,2.309,n
0.985,1.459,4.468,p
2.029,3.425,0.001,p
8.084,2.032,1.983,n
4.784,6.592,4.706,n
5.147,0.573,1.899,p
4.915,2.584,1.812,p
0.304,2.590,2.889,p
9.918,6.489,7.848,n
6.705,9.428,9.626,n
