@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
3.144,8.119,0.395,n
8.298,2.271,3.006,n
7.010,9.925,0.156,n
4.330,2.456,4.264,p
7.696,1.161,7.184,p
9.183,3.484,0.225,n
0.024,8.379,5.956,p
1.178,5.908,0.841,p
9.185,4.271,7.061,n
5.047,7.713,1.063,n
1.857,0.896,2.365,p
0.591,8.847,2.657,n
7.647,5.280,7.518,n
4.154,0.031,2.697,p
2.385,0.376,2.966,n
5.718,1.659,5.442,p
2.949,4.246,4.507,p
3.540,6.089,6.287,n
0.796,6.150,7.285,p
3.057,0.518,4.054,p
0.985,2.930,8.081,p
4.005,0.402,3.425,p
7.069,6.769,3.407,n
0.475,1.369,8.433,p
1.652,4.803,5.078,p
2.671,5.012,6.963,p
4.241,2.220,2.669,p
7.294,1.383,5.863,p
2.228,1.988,4.066,n
6.350,6.383,0.461,n
3.956,3.286,8.615,p
3.208,5.440,6.750,p
1.930,0.039,1.832,p
5.409,3.582,0.622,p
1.362,3.207,0.294,p
0.161,6.637,8.271,p
5.361,7.289,1.066,n
1.834,9.620,2.959,n
1.027,1.773,2.136,n
6.747,8.606,3.586,n
5.431,9.388,1.507,p
2.726,2.390,6.413,p
8.758,3.180,1.545,n
1.125,8.361,1.292,n
1.055,4.667,6.853,p
3.216,2.772,7.431,p
0.749,9.773,9.748,n
3.746,8.346,8.239,n
3.149,5.888,6.253,n
1.085,0.227,7.745,p
5.664,1.820,6.457,p
6.309,1.791,8.899,n
1.764,0.686,7.158,p
2.658,3.834,8.725,p
5.415,7.717,3.529,n
1.848,1.892,4.167,p
7.433,8.157,7.487,p
7.817,0.301,8.032,n
8.912,9.493,3.831,n
5.831,6.336,9.770,p
2.994,8.600,4.841,n
4.919,5.236,4.605,p
6.460,4.442,5.660,n
9.590,8.921,1.356,n
6.233,0.506,3.599,p
0.778,5.389,9.298,p
8.705,6.947,1.344,n
6.011,9.270,7.160,n
3.436,8.067,9.317,n
0.427,0.779,2.003,p
4.221,6.492,3.046,n
2.238,0.027,2.090,p
2.093,1.708,4.037,p
1.683,0.275,1.101,p
4.903,0.597,0.224,p
3.966,0.267,9.655,p
2.189,0.943,4.746,p
2.500,2.658,8.147,p
6.291,3.447,0.937,n
0.905,1.703,0.366,p
0.539,6.543,9.003,p
9.738,4.769,8.036,n
9.401,0.342,3.047,n
9.465,0.878,2.934,n
9.285,1.746,7.398,n
7.340,8.357,5.533,n
7.206,6.057,7.106,n
3.868,4.871,1.539,n
6.424,8.785,8.723,n
3.701,0.721,3.993,p
0.809,6.491,2.407,p
7.811,6.044,7.886,n
5.352,1.882,1.776,p
8.255,1.125,0.240,p
4.308,0.842,2.179,p
1.653,9.309,7.264,n
9.866,6.121,9.313,n
4.187,9.481,9.031,n
4.842,7.735,4.070,n
2.873,1.034,2.993,p
7.004,9.764,9.797,n
2.974,2.426,8.067,p
7.700,4.657,9.793,n
0.132,4.324,3.383,p
0.513,5.460,0.938,p
0.440,4.296,6.275,p
2.796,1.687,0.170,p
1.708,1.829,6.838,n
0.306,5.745,5.497,p
5.148,8.957,9.603,n
3.174,3.925,2.819,p
1.315,2.502,9.802,p
7.430,8.383,6.311,n
8.178,0.054,2.822,n
0.694,2.676,4.828,p
1.442,9.055,1.779,n
3.824,1.071,3.899,p
1.269,3.524,9.150,p
9.799,2.459,3.544,n
0.213,3.454,7.482,p
7.819,5.689,4.641,n
1.679,2.659,2.024,p
0.531,9.784,4.093,n
9.916,6.855,5.252,n
1.463,6.004,3.232,n
5.844,1.462,2.199,p
3.206,2.830,0.295,p
5.388,9.213,5.344,n
2.868,1.899,8.236,p
5.988,0.848,0.280,p
0.835,4.417,7.536,p
3.316,4.188,5.829,p
6.413,0.266,9.350,p
5.284,2.024,2.986,p
8.999,1.329,5.316,n
3.549,7.687,9.100,n
3.121,1.939,8.714,p
1.865,0.377,4.988,p
4.013,3.892,1.776,p
2.507,2.634,6.941,p
2.455,6.996,2.154,n
6.708,6.094,1.758,n
3.942,5.395,5.978,n
4.902,5.790,2.685,n
8.987,6.857,2.219,n
2.031,0.936,7.612,p
5.526,3.027,8.922,p
5.415,9.884,8.360,n
3.507,4.788,5.672,n
1.096,5.539,3.197,p
0.548,4.823,2.015,p
9.232,8.685,5.155,n
3.973,0.661,2.764,p
4.340,2.623,9.625,p
1.861,5.713,5.108,p
2.230,9.854,7.908,n
9.029,0.986,7.035,n
2.254,4.571,9.744,p
0.466,1.700,6.405,p
2.113,7.581,5.049,n
2.027,1.585,9.805,p
1.612,1.368,6.248,p
7.010,0.020,2.815,n
6.986,1.708,0.327,n
3.278,9.712,1.016,p
3.885,8.054,4.451,n
5.455,5.975,2.900,n
0.248,0.265,3.390,p
5.690,2.654,7.619,n
3.084,0.629,7.944,p
6.236,4.387,1.261,n
9.995,1.682,3.662,n
1.221,4.995,4.797,p
0.047,7.085,8.690,p
4.726,3.004,3.050,n
0.438,9.641,1.916,n
0.835,7.448,5.309,n
5.085,6.305,0.827,n
4.731,2.567,3.576,p
2.028,3.369,0.585,p
1.816,0.981,1.786,p
7.329,7.511,3.636,p
4.328,2.001,3.950,p
3.157,4.429,9.282,p
2.540,0.183,9.492,p
3.331,3.032,2.158,p
5.423,5.601,3.983,n
2.981,8.377,9.339,n
4.270,0.562,9.046,p
2.655,2.881,9.458,n
1.242,5.755,0.247,p
1.138,3.166,5.432,p
4.069,3.342,2.908,n
1.203,1.702,8.476,p
4.793,3.824,5.156,n
3.753,3.616,3.660,p
0.782,5.407,8.390,p
3.790,1.069,7.552,p
4.515,7.441,7.957,n
0.286,2.108,7.157,p
0.377,5.106,9.375,p
7.048,7.438,6.200,n
9.699,2.170,5.869,n
1.283,8.468,4.451,n
6.693,1.365,7.288,n
2.960,0.737,9.281,p
7.297,5.942,4.047,n
4.306,2.165,1.003,p
6.008,3.645,9.471,p
4.582,6.603,6.018,n
4.952,5.230,4.912,n
1.919,7.855,2.983,n
5.615,5.765,0.005,n
1.779,1.996,9.572,p
5.655,2.896,6.597,n
6.712,0.015,4.395,p
0.644,5.529,3.635,p
1.579,0.939,8.514,p
5.807,2.385,7.107,n
0.620,7.513,2.288,n
8.186,5.794,1.490,p
4.287,7.020,0.579,n
8.414,9.317,6.986,n
0.425,2.654,3.686,p
4.293,6.703,8.792,n
9.287,6.960,3.565,n
0.001,6.487,4.856,p
8.846,5.866,8.714,p
8.837,1.652,8.274,n
2.782,1.942,7.311,p
8.223,6.527,2.135,p
1.112,5.711,9.454,p
5.255,2.578,9.316,p
5.236,1.615,8.579,p
7.641,7.600,0.833,p
0.120,5.651,4.878,p
4.009,0.776,9.717,p
0.711,2.531,7.711,p
1.963,2.253,7.929,p
2.006,1.694,7.659,p
9.774,4.554,8.986,p
0.461,7.032,5.610,p
0.873,3.504,8.847,p
2.777,8.872,0.606,n
0.691,1.722,6.268,p
8.561,8.374,5.550,n
0.243,0.896,2.497,p
7.404,8.927,2.262,n
2.345,4.189,7.447,p
0.888,9.283,0.298,n
2.370,8.189,8.180,n
4.702,6.988,2.920,n
2.590,0.273,2.813,p
7.099,9.885,6.314,n
1.560,5.470,2.042,n
7.399,3.205,5.793,n
2.131,6.715,9.650,n
3.891,9.617,6.143,p
0.968,2.311,8.378,p
5.922,1.878,0.426,p
1.049,1.777,7.002,p
1.766,3.731,6.769,p
6.535,9.484,7.929,n
6.256,3.096,6.404,n
6.296,0.076,8.493,n
4.030,1.525,7.578,p
5.518,4.132,9.471,n
3.329,1.014,8.735,p
4.425,3.422,1.766,p
8.739,1.306,5.546,n
1.709,6.259,8.314,n
5.723,1.097,9.790,p
3.436,9.883,7.922,n
3.053,1.978,9.122,p
6.758,3.392,1.489,n
3.324,8.335,2.739,n
1.289,1.485,5.225,p
1.370,0.170,4.392,n
8.587,2.823,2.856,n
0.775,0.174,6.635,p
3.767,5.058,2.736,n
2.216,0.784,1.266,p
2.402,3.274,5.051,p
2.581,3.471,2.126,p
0.245,4.372,4.397,p
3.748,0.978,5.767,p
7.619,5.285,2.928,n
4.476,0.844,2.799,n
4.296,9.087,9.404,n
1.543,2.397,2.033,p
6.382,0.222,4.895,p
6.613,8.265,3.969,p
2.720,4.544,6.350,p
3.511,3.226,2.166,n
5.046,5.999,0.891,n
4.449,2.927,4.659,n
0.313,2.559,8.258,p
0.860,8.481,3.738,p
5.875,7.179,3.187,n
0.006,8.474,3.099,n
3.037,7.493,3.763,n
1.247,6.525,7.004,n
2.906,0.450,0.905,p
9.966,7.438,8.960,n
9.914,8.199,7.109,n
3.125,0.133,2.727,p
2.776,2.497,7.247,p
3.724,5.925,8.430,n
6.402,8.013,3.034,n
3.506,2.377,7.327,p
9.275,8.777,4.007,n
2.005,0.004,7.246,p
7.525,0.428,0.620,p
2.083,7.317,1.900,n
