@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
8.533,6.783,6.068,n
5.081,2.114,7.102,p
5.223,1.749,4.571,p
2.109,2.267,5.674,n
3.754,1.159,2.614,p
4.625,4.639,1.448,n
5.280,7.236,7.818,n
5.845,5.942,8.934,n
1.976,7.975,1.417,n
3.739,3.346,7.987,p
0.585,1.717,7.837,p
2.176,6.110,5.432,n
6.564,2.643,3.172,p
6.171,3.159,4.408,n
9.342,4.416,2.377,n
8.429,6.329,6.367,n
9.181,0.040,2.253,n
0.936,0.774,1.483,p
5.704,0.746,9.352,p
9.264,6.660,3.699,n
4.411,2.131,8.296,p
7.270,7.961,8.540,p
7.435,0.464,2.330,p
0.121,5.157,9.423,p
1.343,2.242,1.678,p
7.991,2.619,5.277,n
9.082,1.724,6.833,n
2.206,4.009,1.676,p
7.026,3.471,4.875,n
7.162,3.892,8.616,n
4.406,5.097,2.802,n
9.892,1.644,3.553,n
1.155,2.769,2.352,p
8.280,0.843,0.983,n
2.889,4.722,1.101,p
3.372,4.863,7.478,p
9.149,7.808,5.016,n
5.188,2.840,0.706,p
1.495,3.660,8.910,p
9.287,6.267,8.633,p
2.647,3.345,7.696,p
2.437,7.173,8.371,n
5.829,1.570,5.179,p
3.988,5.013,7.618,p
0.777,0.435,2.509,p
1.674,4.915,2.544,p
5.694,8.295,7.235,n
0.458,6.861,4.495,p
1.831,7.019,3.607,p
5.512,6.505,2.218,n
8.417,5.917,8.672,p
5.051,1.136,6.876,p
7.790,0.867,9.800,n
9.167,1.751,1.840,n
1.105,6.141,4.556,p
8.038,5.719,7.340,n
4.557,0.613,2.747,p
4.044,0.193,5.317,p
4.801,0.704,1.211,p
7.050,7.945,9.891,n
4.379,2.553,5.418,p
5.448,8.841,4.530,n
4.953,5.368,1.703,n
0.354,0.139,2.099,p
8.820,2.176,7.284,n
5.945,0.901,8.750,p
1.849,1.833,9.243,p
3.843,5.470,3.591,n
6.090,2.692,6.382,n
9.722,4.824,6.440,n
2.523,2.656,9.702,p
8.961,1.624,2.776,n
6.497,3.183,6.633,n
5.932,8.527,7.173,n
7.408,2.829,4.956,n
1.353,1.187,3.986,p
4.888,0.697,2.757,p
1.349,0.988,0.238,p
4.878,3.229,6.146,n
5.640,6.475,5.923,p
4.069,3.966,5.770,p
1.195,6.442,9.029,p
4.990,2.531,9.096,p
3.606,7.127,3.725,n
4.112,5.890,3.049,n
4.722,1.041,8.890,p
0.706,5.867,1.149,p
3.468,6.508,6.125,p
8.295,6.084,9.702,n
2.642,7.815,3.610,n
6.192,4.181,1.750,n
3.527,0.157,8.032,p
4.835,9.350,4.705,p
3.569,3.696,3.704,p
0.764,0.816,6.752,p
7.707,0.093,3.262,p
1.051,5.119,2.150,p
5.986,4.982,4.334,n
8.693,8.635,8.984,n
3.007,4.007,0.327,p
