@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
9.312,3.158,8.883,n
0.551,4.637,9.001,p
5.316,3.537,2.431,n
5.564,5.050,2.622,n
5.095,2.432,9.348,p
9.221,0.285,7.125,n
3.514,9.041,5.184,n
7.302,0.329,0.742,p
5.252,5.314,8.131,n
8.807,7.130,6.605,n
7.355,2.010,3.346,n
6.972,1.377,3.101,n
2.002,3.104,5.812,p
2.801,2.941,4.279,p
2.117,7.383,2.227,p
2.033,1.733,4.406,n
2.256,2.487,1.212,p
8.017,0.749,7.693,n
8.963,6.475,3.291,n
5.856,2.553,1.610,n
4.326,6.772,0.465,n
8.234,8.851,9.813,n
7.818,0.791,3.454,p
8.994,2.118,8.193,n
3.558,2.394,6.216,n
3.633,0.785,6.070,p
1.032,6.690,6.187,p
6.424,0.892,5.029,p
9.586,3.311,9.476,n
3.075,0.472,8.328,p
7.187,6.809,0.070,n
8.418,4.176,6.266,n
0.202,4.036,8.528,p
0.583,5.110,4.016,p
0.008,2.631,6.395,n
4.620,2.503,1.112,p
3.587,1.857,6.825,p
4.386,0.714,2.282,p
6.730,0.043,2.688,p
2.553,3.997,7.550,n
4.225,9.963,1.927,n
4.234,6.288,2.347,n
2.759,2.659,6.010,p
8.784,7.236,2.625,p
3.034,8.913,6.639,n
2.567,2.453,3.173,p
1.222,6.645,8.915,p
3.257,5.816,8.453,n
7.809,7.195,6.776,n
2.948,1.975,5.561,p
5.574,9.669,3.665,n
0.929,6.333,3.911,p
5.305,8.509,7.979,n
3.081,2.329,4.575,p
2.775,9.578,1.120,n
3.792,3.646,3.184,p
4.574,1.665,4.420,p
8.946,9.217,4.420,n
3.508,3.592,9.176,p
8.832,7.616,4.364,n
6.378,1.506,3.164,p
2.510,4.204,2.502,p
4.298,7.788,1.328,n
5.230,8.454,3.380,n
5.248,0.462,1.083,p
9.953,1.282,9.374,n
9.151,0.773,3.058,n
0.088,1.060,3.506,p
1.469,6.698,0.919,p
6.494,0.498,8.987,n
4.815,5.588,1.386,n
5.229,6.818,8.755,n
1.400,4.921,1.318,p
1.082,2.118,0.532,p
3.791,6.227,8.586,n
2.103,3.773,2.974,p
4.309,4.277,3.982,n
0.306,5.517,2.020,p
7.422,7.026,4.752,n
0.478,7.722,8.231,n
5.981,0.382,1.959,p
6.358,5.443,1.865,n
2.144,3.332,5.380,p
4.732,2.546,1.908,p
8.602,2.223,6.157,n
3.131,3.189,2.559,n
1.319,1.505,6.069,p
6.451,4.955,8.008,n
9.159,1.513,2.993,n
9.260,2.029,7.036,n
2.131,0.619,6.656,p
1.384,6.215,3.912,p
2.151,2.241,5.326,p
8.174,0.905,9.456,n
7.825,5.809,7.048,n
1.293,1.418,3.217,n
5.377,6.157,6.464,n
6.605,4.732,9.444,n
1.070,7.842,3.634,n
9.475,6.359,8.049,n
0.767,5.403,6.096,p
0.450,5.931,9.665,p
8.271,6.732,2.948,n
4.028,9.092,1.109,n
5.969,0.676,2.334,p
0.063,4.053,5.002,p
4.031,9.148,1.266,n
4.269,4.598,3.728,n
1.624,5.945,1.278,p
6.378,5.698,2.504,n
4.547,1.143,9.423,p
4.447,0.944,0.184,p
0.304,4.935,7.142,p
3.298,4.784,8.976,n
6.123,1.659,3.032,p
2.794,5.037,5.732,p
1.616,4.057,4.729,p
9.250,8.440,6.152,n
7.910,1.336,2.100,n
0.014,0.839,7.788,p
1.849,3.954,8.368,p
4.838,0.747,8.078,p
1.257,5.869,4.639,p
6.351,8.044,6.450,n
1.190,1.036,7.750,p
5.046,9.214,9.749,n
6.141,3.513,9.571,n
1.960,5.531,0.203,p
6.388,7.194,8.611,p
1.369,7.380,9.812,n
9.618,1.149,8.209,n
5.358,0.893,9.299,p
0.902,1.868,4.371,p
0.430,6.846,3.780,p
2.378,4.553,4.061,p
1.067,2.321,3.444,p
5.633,7.468,2.591,n
9.323,8.308,1.715,n
1.510,1.043,3.005,p
8.423,7.665,9.854,n
1.732,8.055,2.946,p
4.600,0.898,8.381,p
1.626,0.703,8.141,p
2.201,7.870,0.426,n
2.782,2.618,0.255,p
4.675,1.843,0.477,p
3.674,9.741,4.444,n
2.261,3.830,6.815,n
1.347,6.943,2.966,n
1.737,7.893,4.192,n
0.073,2.054,7.207,p
0.286,2.553,0.181,p
4.116,2.364,8.862,p
2.766,2.396,2.427,p
1.055,4.919,1.868,p
5.653,6.533,2.920,n
3.105,0.895,4.748,n
6.575,6.082,3.545,n
6.238,9.967,4.256,n
0.992,5.358,6.464,n
3.750,6.520,4.330,n
2.008,3.379,3.085,p
0.325,1.122,1.118,n
5.633,5.936,6.267,n
7.523,7.438,1.729,n
9.189,8.283,0.808,n
5.194,5.371,2.678,n
8.067,7.697,3.020,n
0.864,6.806,0.305,p
1.043,6.528,9.838,p
6.444,5.863,8.413,n
8.178,3.316,0.719,n
1.940,4.226,8.442,p
8.519,9.929,2.731,p
6.408,0.597,2.070,n
8.248,9.129,2.542,n
1.824,4.980,3.485,p
2.876,0.041,2.086,p
1.737,6.165,1.451,p
5.453,1.244,1.869,p
7.831,6.112,6.083,n
3.968,9.762,5.952,n
2.123,5.954,1.911,n
0.614,7.727,4.859,n
5.301,2.460,2.624,p
8.108,3.422,7.210,n
0.174,1.622,6.453,p
2.161,9.482,0.922,n
1.065,3.937,7.660,p
6.822,0.808,4.132,p
8.454,2.674,9.162,n
8.875,2.017,8.285,n
3.755,2.706,2.648,n
0.218,1.023,4.118,p
9.646,6.729,4.212,n
4.130,0.704,4.528,n
5.321,8.164,4.008,n
3.766,2.649,2.502,n
9.683,3.423,8.063,p
2.248,1.956,9.423,p
5.008,5.293,3.376,p
0.285,4.219,5.298,p
1.830,8.796,5.966,p
6.828,6.834,0.320,n
7.780,6.949,6.819,n
0.117,5.531,3.436,p
3.954,5.989,7.557,n
3.237,5.824,6.299,p
0.782,0.514,2.677,p
0.964,6.965,2.009,p
4.211,7.047,8.164,n
2.173,1.374,5.594,p
2.802,1.807,7.544,p
4.339,1.381,3.100,p
9.593,3.320,9.632,n
4.924,3.865,7.612,n
7.442,0.864,4.653,n
7.883,6.630,9.774,n
3.935,8.350,6.123,n
0.456,4.194,4.011,p
8.183,1.721,3.773,n
2.090,7.030,1.159,n
7.584,5.326,3.339,n
9.879,2.400,6.879,n
4.378,5.337,4.047,p
5.205,0.324,8.199,n
3.508,4.794,5.940,n
1.187,3.830,6.210,p
2.432,7.959,9.634,n
3.092,6.163,2.963,n
1.201,0.476,7.806,p
2.061,9.207,3.572,n
1.224,0.632,5.629,p
1.601,0.313,3.500,p
0.862,4.953,4.586,p
5.150,1.447,5.841,p
1.228,5.146,8.103,p
3.054,2.815,0.703,p
7.416,0.319,1.372,p
0.110,4.504,4.897,p
8.197,5.472,7.315,p
7.644,7.469,6.382,n
7.678,7.826,2.985,n
1.492,5.323,9.203,p
0.512,2.510,5.955,p
2.532,0.549,4.047,p
6.091,5.092,4.481,n
4.532,6.910,5.558,n
3.329,4.420,7.678,p
7.946,3.243,1.538,n
5.608,3.055,2.731,n
5.040,7.101,4.199,n
6.850,4.660,1.206,p
5.389,5.815,6.976,n
8.875,6.043,9.013,n
6.017,7.261,6.343,n
2.012,4.563,5.565,p
0.085,5.275,6.576,n
2.420,7.421,1.966,n
4.459,9.525,6.135,n
5.792,1.604,8.804,p
6.317,0.587,1.061,n
0.451,3.300,3.722,p
9.064,6.902,8.821,n
7.007,7.634,2.217,n
4.295,2.705,1.940,p
5.346,4.374,6.535,n
1.846,6.106,6.797,p
7.822,8.207,3.493,n
6.145,3.890,0.100,n
2.868,4.119,4.178,p
4.165,9.427,5.138,n
9.570,5.964,3.714,n
2.653,2.051,9.492,p
9.323,1.851,8.468,p
7.248,2.550,5.317,n
3.706,4.150,9.861,p
9.681,8.319,6.570,n
8.486,2.140,6.267,p
6.464,5.450,0.274,n
8.154,2.841,0.355,n
5.600,0.838,4.732,p
7.096,2.253,4.063,n
2.758,6.207,0.561,n
1.847,7.980,3.979,n
0.345,9.835,4.886,n
1.783,0.254,4.754,p
4.291,1.597,0.336,p
3.877,8.323,0.815,n
1.199,2.795,7.720,p
7.872,3.791,9.944,p
8.860,3.205,0.751,n
3.154,2.602,3.703,n
2.980,2.445,0.498,p
9.270,2.349,6.977,p
3.336,6.271,3.568,n
2.058,4.007,8.817,p
5.158,0.360,8.085,n
4.681,9.035,7.650,n
7.812,7.168,5.321,n
8.896,6.001,0.374,n
0.067,9.938,5.804,n
2.378,8.619,3.617,n
8.079,5.696,5.556,n
8.323,1.847,3.925,n
7.398,9.106,7.291,n
6.370,2.262,7.742,n
7.685,4.085,1.675,p
0.040,1.524,8.890,p
2.411,4.959,2.447,p
0.149,2.893,0.911,p
2.009,3.244,8.931,p
2.494,1.895,7.823,p
2.274,1.295,8.407,p
4.564,9.151,5.780,n
3.265,4.723,1.012,p
5.162,9.469,1.180,n
4.089,2.511,5.412,p
3.339,7.622,2.989,n
2.826,7.524,7.193,n
3.448,8.439,1.135,n
6.320,2.560,0.787,n
9.027,4.381,4.598,n
9.299,4.688,5.632,n
4.210,4.118,0.692,n
4.864,2.050,7.540,p
8.837,5.406,8.362,n
5.610,3.500,6.757,n
6.683,0.006,6.427,p
6.746,1.164,1.373,p
7.480,6.309,0.497,n
6.611,0.930,2.082,p
4.220,1.150,1.586,p
2.254,3.490,7.250,p
0.146,7.191,0.816,n
2.764,4.722,8.976,n
9.832,6.189,7.680,n
8.806,1.941,0.375,n
2.507,0.736,2.270,p
4.129,0.886,2.667,p
0.313,1.549,5.960,p
4.149,2.179,2.260,p
7.093,8.052,2.977,n
9.316,3.814,0.948,n
4.499,0.736,3.566,p
5.382,9.208,8.192,n
6.157,7.944,3.980,n
6.208,8.300,8.738,n
5.043,2.332,3.189,p
3.112,4.728,4.178,p
8.713,1.225,0.723,n
5.463,0.313,4.454,p
3.638,0.603,4.392,p
0.787,5.394,4.446,n
3.598,4.452,2.723,n
2.974,0.757,0.358,p
2.588,7.032,5.357,n
1.742,4.359,0.178,p
1.035,1.169,4.581,p
9.644,3.089,0.254,n
4.834,8.867,2.414,n
4.203,2.702,0.771,p
5.332,2.893,3.840,n
9.760,5.201,7.482,n
0.042,2.924,8.097,p
5.039,6.835,9.141,n
9.495,8.640,2.061,n
8.855,5.717,7.755,n
2.339,2.819,0.879,p
0.235,4.991,7.038,p
5.221,1.591,5.427,p
1.762,3.352,4.812,p
0.056,7.546,9.520,p
1.557,1.555,2.244,p
9.567,6.090,5.121,p
6.582,9.749,3.397,n
5.624,0.586,5.859,p
5.271,2.536,8.252,p
4.234,2.668,0.010,p
7.060,6.069,2.396,n
2.768,4.661,0.856,p
3.487,3.316,6.185,p
5.136,3.816,5.464,n
0.512,6.855,6.928,p
1.581,7.704,8.215,n
4.126,1.813,2.022,p
5.028,9.795,3.704,n
4.508,0.930,4.576,p
4.751,5.644,4.922,n
5.486,9.963,1.593,n
4.681,2.137,7.456,p
5.805,1.207,0.283,p
3.376,3.865,2.608,p
0.131,2.244,9.613,p
9.090,1.158,7.106,n
1.097,6.392,5.419,p
4.550,5.963,8.513,n
7.520,4.297,3.635,n
6.013,6.646,4.864,n
0.120,6.267,0.462,p
2.642,0.935,2.853,n
2.132,2.354,1.152,p
4.069,1.010,7.241,p
7.767,5.621,7.186,n
3.575,6.807,0.382,n
1.773,2.425,8.773,p
1.968,2.827,5.258,p
6.296,1.524,2.849,p
8.571,0.236,5.419,n
3.133,0.387,1.591,p
7.748,9.133,7.288,n
4.262,3.053,3.778,p
2.797,9.508,1.447,n
7.361,6.832,6.603,n
8.320,4.947,8.913,n
7.138,2.367,7.894,n
8.092,3.171,4.704,n
3.649,0.098,9.197,p
0.269,0.742,4.992,p
7.500,8.642,0.205,p
0.679,3.700,2.433,p
1.378,3.598,0.610,p
5.848,1.387,6.471,p
5.322,7.102,0.597,n
2.600,3.990,8.914,p
1.112,6.741,4.585,p
7.304,0.011,5.564,p
9.420,3.142,4.894,n
2.900,1.929,8.493,p
2.317,4.775,0.643,p
8.711,8.038,5.263,n
8.235,7.351,3.666,n
3.450,3.478,1.894,p
4.489,1.101,8.214,p
0.571,9.843,9.905,n
4.879,3.703,0.039,n
3.002,0.154,6.487,p
1.514,1.523,3.416,p
2.327,9.119,3.068,p
2.792,0.140,8.388,p
0.338,6.191,7.844,p
6.842,9.930,2.746,n
6.152,0.784,4.990,p
4.192,6.091,1.175,p
9.098,3.497,3.366,n
5.808,9.891,7.867,n
9.641,6.952,0.623,n
4.812,5.334,9.792,n
4.662,2.378,9.214,p
0.268,4.328,1.024,p
9.516,5.222,1.886,n
5.156,5.537,2.130,n
8.766,8.866,8.257,n
3.587,2.271,9.524,p
9.813,2.297,3.673,n
1.130,6.410,6.531,p
0.668,0.872,8.646,p
6.678,8.008,7.409,n
7.676,1.911,4.478,n
0.477,4.696,4.893,p
3.863,4.543,6.239,n
5.992,6.806,9.344,n
1.370,4.812,5.717,p
2.647,1.773,3.971,n
0.799,7.017,7.523,p
1.604,3.217,7.289,n
0.591,4.234,4.019,p
1.259,8.031,0.640,n
2.657,1.112,3.811,p
1.977,5.982,8.475,p
6.423,0.649,7.648,p
1.751,3.996,8.936,p
2.756,4.099,1.350,p
6.213,6.193,0.173,n
4.884,9.931,8.642,n
2.980,0.214,5.495,p
2.191,0.516,1.621,p
2.915,3.833,3.989,p
2.845,2.581,7.130,p
3.286,5.993,3.997,n
6.212,8.709,5.239,n
1.200,6.151,2.585,n
7.315,0.143,6.862,p
0.187,1.697,3.462,p
0.325,1.615,9.759,p
1.922,8.918,7.324,n
3.413,3.471,7.798,p
4.204,1.405,1.293,p
3.975,5.260,0.013,n
6.000,2.630,6.098,n
9.123,5.414,1.051,n
2.534,3.233,6.201,n
5.208,1.758,4.632,p
2.205,3.635,6.942,p
6.357,2.289,3.107,p
2.840,5.630,1.325,n
2.223,2.894,4.032,p
0.322,9.094,6.588,n
5.925,0.799,9.102,p
1.356,4.104,8.621,p
0.695,0.938,3.708,p
2.147,4.521,8.058,n
5.638,1.835,7.369,p
7.478,6.134,5.943,n
6.974,2.570,4.662,n
4.552,0.552,3.717,p
5.193,5.264,8.976,n
2.496,8.999,5.687,n
8.953,0.654,2.962,n
1.170,7.545,5.001,n
8.218,2.210,4.894,n
4.830,0.773,7.891,p
7.280,2.529,7.622,n
0.760,2.566,7.381,p
6.377,1.825,4.783,n
0.501,6.499,7.359,p
0.213,8.899,7.482,n
2.025,0.486,8.443,p
4.370,3.530,5.680,p
3.000,1.764,5.005,p
3.817,0.725,6.005,p
9.259,1.366,1.130,n
7.469,9.394,6.983,n
0.295,6.849,0.197,p
1.525,5.373,1.461,p
2.994,2.383,3.138,p
1.316,2.576,3.196,p
5.781,3.277,1.675,n
0.722,9.942,2.056,n
3.680,4.492,9.575,n
7.227,8.605,4.683,n
3.249,1.700,2.926,p
2.653,9.435,0.800,n
6.430,8.237,0.636,n
8.483,5.634,0.678,n
4.819,8.478,9.437,n
0.440,9.098,4.926,p
0.923,9.825,7.279,n
4.372,2.251,4.858,p
6.225,2.725,8.874,n
9.647,9.465,2.697,n
7.246,1.222,4.015,n
6.163,0.536,0.850,p
2.046,0.521,5.066,p
0.637,8.254,5.110,n
1.054,6.215,1.936,p
8.555,7.797,2.437,n
0.056,6.038,4.170,n
6.295,1.403,8.864,p
4.394,1.703,8.030,p
3.855,2.503,7.974,p
0.429,5.959,2.779,p
8.585,3.394,1.257,p
0.301,2.938,3.194,p
0.546,0.215,7.243,p
9.880,0.194,3.278,n
8.838,2.010,2.343,n
3.330,3.589,4.778,p
1.550,9.201,0.475,n
0.021,7.957,6.547,p
4.004,1.393,7.502,p
5.610,2.360,1.115,p
1.475,5.789,3.675,p
3.233,2.739,4.738,p
2.257,0.138,8.454,p
4.021,2.345,0.726,p
7.852,8.825,7.802,n
2.173,3.920,0.242,p
6.744,3.381,0.967,n
2.684,6.308,2.129,n
7.210,7.234,8.996,n
0.708,1.207,3.922,p
4.551,9.034,7.919,n
1.777,0.505,5.558,p
6.319,8.648,7.204,n
9.498,3.041,7.598,n
1.240,2.666,9.927,p
5.915,9.874,1.308,n
5.177,0.744,3.129,p
6.109,5.873,2.078,n
0.441,9.166,2.445,n
5.845,1.662,2.027,p
0.511,3.947,5.093,n
3.452,6.592,8.018,n
0.548,3.750,3.308,p
2.002,3.105,7.503,p
5.063,2.257,7.132,p
8.020,1.644,0.221,n
0.836,5.184,4.234,p
5.855,9.429,1.870,n
4.898,1.303,2.068,p
6.512,5.351,9.154,n
0.661,9.552,3.793,n
9.718,4.778,7.880,n
9.309,0.799,3.312,n
0.419,3.890,5.958,p
1.830,4.118,8.540,n
4.875,2.883,9.426,p
1.777,7.737,1.520,n
0.532,5.578,7.560,p
3.577,7.263,7.400,n
2.565,4.141,5.481,p
2.476,0.693,5.252,n
5.640,3.112,5.118,n
8.520,8.472,9.771,p
8.723,6.711,1.804,n
4.189,5.511,7.495,n
9.264,9.254,6.539,n
4.211,7.045,3.707,n
2.955,5.245,3.385,n
6.685,2.543,4.574,n
1.315,1.995,2.652,p
6.761,4.083,8.818,n
2.047,5.806,8.020,p
9.960,2.949,6.892,n
1.580,6.407,5.005,p
1.168,1.706,7.269,p
5.537,4.559,7.764,p
8.073,2.097,8.360,n
4.577,3.250,8.293,p
4.538,8.242,0.832,n
2.843,4.677,4.975,p
5.667,3.852,1.828,n
0.796,9.498,7.158,n
3.817,2.058,6.623,p
5.921,1.988,6.946,p
7.451,0.157,0.849,p
2.015,4.873,2.622,n
6.947,9.801,7.992,p
0.119,2.191,1.372,p
4.881,0.775,3.055,p
2.401,8.842,8.319,n
2.840,8.277,1.828,n
7.177,8.752,0.231,p
9.808,3.952,9.602,n
5.025,4.679,8.788,n
3.887,9.475,9.936,n
1.586,3.662,4.774,p
1.493,5.885,0.364,p
9.176,2.659,2.007,n
1.025,3.548,0.515,p
1.948,1.969,7.597,p
0.126,6.769,0.896,p
2.085,4.701,7.483,p
0.065,0.861,5.139,p
0.174,3.899,5.643,p
6.253,5.512,2.516,n
2.114,4.642,3.938,p
6.098,1.841,2.150,p
4.564,3.069,1.237,p
5.052,0.474,8.928,p
4.495,0.303,0.923,p
3.493,0.912,4.960,p
6.735,2.634,8.998,p
4.271,3.310,0.199,p
6.033,3.314,6.645,n
0.709,4.574,2.993,p
2.911,1.215,9.129,p
3.247,6.589,1.258,p
2.788,0.089,1.906,n
9.355,7.809,1.107,n
2.917,4.888,8.077,p
4.850,0.884,0.735,p
6.806,5.579,6.356,n
8.078,9.080,0.276,n
1.185,8.033,2.381,n
7.636,8.546,7.661,p
4.128,1.997,1.031,p
5.649,2.142,7.819,p
0.802,6.546,9.224,p
8.067,5.035,6.610,n
0.976,0.456,9.272,p
3.884,1.440,2.943,p
9.608,6.129,9.249,n
2.483,5.228,2.623,p
0.877,5.146,4.241,p
7.825,0.793,7.534,n
2.032,2.059,3.153,p
6.748,0.023,6.340,p
0.966,9.734,6.001,p
3.929,2.970,9.637,p
3.572,9.323,3.498,n
8.573,9.849,1.401,n
2.826,4.700,4.995,p
3.352,8.469,3.905,n
8.516,2.880,1.029,n
6.591,4.755,2.511,n
8.138,8.935,4.019,n
4.927,1.193,9.680,p
6.590,9.620,3.475,n
4.098,1.704,9.456,n
5.682,2.152,0.898,p
3.411,4.007,8.559,p
0.458,4.808,3.677,p
6.970,0.928,5.620,p
2.324,2.303,8.744,n
7.345,9.235,5.768,n
9.155,6.473,3.561,n
2.522,4.893,4.415,p
9.732,7.046,6.585,n
2.441,3.967,3.433,p
2.151,0.288,1.942,p
1.430,6.526,9.692,p
1.398,9.374,7.632,n
2.483,7.090,8.129,n
6.505,0.438,2.394,n
5.336,0.000,3.359,p
1.619,3.100,6.467,p
1.836,1.365,7.445,p
0.794,2.290,1.390,p
1.766,1.823,6.665,p
2.907,8.809,5.394,n
1.570,6.170,3.365,p
1.436,0.085,5.901,p
0.658,3.038,3.494,p
9.136,7.861,7.807,n
7.800,4.429,1.270,n
3.680,0.469,5.616,p
7.869,3.261,5.138,n
5.748,1.600,6.250,n
3.221,3.320,6.135,p
7.743,4.698,1.152,n
7.618,1.373,6.700,n
1.380,8.406,3.458,n
7.550,5.953,8.055,n
6.315,3.879,3.909,n
9.032,7.539,9.907,n
0.361,1.285,1.168,p
7.795,9.496,0.695,n
1.416,9.260,9.147,n
1.130,1.895,7.680,n
5.554,8.665,0.207,n
8.811,5.546,0.615,n
9.840,0.876,4.266,n
3.659,0.301,9.170,p
6.251,3.594,3.498,n
2.791,2.187,5.701,p
8.610,8.276,7.703,n
0.743,2.009,8.818,p
2.772,5.954,7.608,n
5.769,0.986,0.160,p
4.063,7.635,3.717,n
7.116,7.567,0.656,n
4.054,8.872,3.667,n
4.001,1.194,0.042,p
1.075,2.165,7.408,p
4.932,2.202,1.601,p
5.526,6.726,1.162,n
0.444,0.235,4.735,p
9.904,5.894,5.054,n
7.850,5.160,5.438,p
6.471,0.928,5.459,p
5.566,6.058,7.768,n
3.783,2.407,0.337,p
4.445,5.157,6.890,n
8.823,5.928,4.582,n
3.874,1.189,2.426,p
4.254,4.554,2.418,n
6.258,0.456,5.350,p
7.474,5.454,4.176,n
2.280,6.325,4.239,n
8.344,6.473,9.196,p
2.636,4.130,0.350,p
0.716,2.052,0.027,p
4.716,7.261,2.895,n
2.903,1.147,6.009,n
5.700,0.480,2.542,p
2.723,7.068,8.086,n
1.418,9.514,8.734,p
9.460,1.137,0.644,n
1.652,5.035,6.243,p
