@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
0.537,9.686,7.573,n
0.525,1.093,0.938,p
7.841,1.556,6.195,p
2.000,7.814,9.872,p
7.916,7.022,5.780,n
1.358,2.514,5.618,p
1.552,0.686,3.763,p
2.211,4.639,0.402,n
3.989,9.400,0.549,n
5.598,5.083,1.099,n
1.228,1.209,1.037,p
0.125,9.117,8.863,n
0.594,4.375,6.950,p
6.857,5.170,4.471,n
4.932,7.765,6.453,n
4.266,4.226,6.081,p
8.745,0.688,2.179,n
4.027,0.434,1.862,p
2.091,1.599,5.423,p
9.231,5.933,1.156,p
3.932,1.744,4.348,n
2.840,3.473,5.316,p
2.838,0.206,2.631,p
0.155,7.327,4.624,p
5.742,4.942,1.525,n
9.009,3.837,5.976,n
5.324,0.189,2.680,p
9.537,2.220,5.877,n
6.525,1.270,5.362,p
7.728,0.153,9.107,p
9.763,0.736,3.526,p
0.491,1.889,1.680,p
2.824,4.219,4.207,p
8.313,4.588,3.946,n
4.212,3.874,6.755,p
3.483,9.179,8.716,n
0.177,7.733,1.301,p
7.681,8.107,7.230,n
2.083,2.783,3.451,p
8.148,1.891,8.075,n
2.355,3.426,1.849,p
9.745,0.789,7.312,n
6.523,7.111,8.273,n
5.565,2.594,1.105,p
9.171,5.269,2.180,n
4.640,0.496,5.876,p
4.096,5.146,7.611,n
5.492,3.040,4.262,p
6.530,0.205,3.122,n
8.533,7.910,3.683,n
7.168,9.819,9.058,n
9.513,6.650,3.462,n
5.972,6.568,2.530,n
1.991,0.278,0.643,p
6.960,2.255,3.969,n
2.631,5.223,6.029,p
4.689,2.212,7.966,p
6.104,1.617,2.399,p
7.227,5.974,2.010,n
5.633,2.666,4.445,n
9.217,3.992,7.689,n
4.466,5.986,4.874,n
3.353,3.847,3.130,p
6.287,9.702,9.501,n
4.775,4.679,7.625,n
5.410,6.673,6.908,n
1.827,1.593,7.924,p
8.965,3.570,5.290,n
6.068,2.753,9.114,n
7.143,6.884,4.383,n
5.685,7.060,4.380,n
7.677,0.296,3.483,p
3.681,3.285,1.062,p
1.933,4.865,5.676,p
0.742,1.819,4.439,p
2.761,5.607,6.672,p
1.497,9.576,0.012,n
9.848,3.651,7.985,n
1.595,1.467,2.884,p
0.747,4.417,4.969,p
3.346,7.307,3.098,n
9.093,5.788,1.016,n
6.210,6.501,4.254,n
9.967,7.023,0.411,n
0.172,7.223,1.004,p
1.373,8.173,3.616,n
5.090,2.809,6.277,p
4.192,1.919,1.127,p
8.856,5.123,7.628,n
9.863,6.278,3.038,p
6.234,8.026,2.954,n
1.312,2.733,7.235,p
7.611,0.012,2.875,p
8.850,1.171,0.151,n
6.938,9.808,9.627,n
6.997,5.305,8.497,n
1.288,6.262,0.503,p
5.645,2.053,4.532,p
2.968,7.216,7.936,n
3.871,3.227,8.869,p
4.981,3.765,6.670,n
8.302,8.035,6.661,n
2.363,3.915,2.613,p
9.114,3.587,1.690,n
2.596,0.343,6.889,p
0.791,8.530,6.099,n
2.674,8.693,1.144,n
4.044,0.241,4.382,p
4.102,2.691,4.295,p
