@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
4.386,2.837,0.596,p
8.954,9.603,7.795,p
8.440,2.926,1.151,n
1.563,5.701,3.932,n
0.019,9.183,4.404,p
9.278,5.998,3.173,n
2.119,3.545,6.816,p
1.018,7.447,6.135,n
8.546,7.297,4.855,n
6.354,0.752,4.569,p
3.192,3.006,4.434,p
3.532,8.554,8.820,n
7.571,8.581,2.334,n
6.939,9.050,0.736,n
2.128,3.666,8.225,p
8.231,3.479,0.767,n
4.223,7.431,1.678,n
4.279,4.595,8.615,n
3.687,1.256,4.060,n
5.035,3.827,3.674,n
0.413,1.602,0.311,p
1.513,2.588,3.535,p
0.063,9.139,8.775,n
2.212,3.308,4.602,p
3.987,3.865,9.853,n
9.614,7.530,4.966,n
5.055,2.960,8.596,p
0.408,2.383,8.666,p
5.310,8.683,0.293,n
6.952,2.859,0.494,n
2.211,3.407,5.544,n
6.793,0.320,6.398,p
8.047,8.463,1.034,n
2.325,1.948,5.378,p
0.129,7.297,7.410,p
0.443,2.168,6.632,p
1.870,5.739,8.659,p
6.894,6.653,1.961,n
3.948,1.147,6.845,n
2.979,2.668,0.485,p
5.884,8.262,7.670,n
7.457,8.149,3.302,n
7.670,1.993,1.937,n
4.721,2.596,1.247,p
4.724,2.382,1.852,p
2.164,2.975,3.082,p
7.637,0.524,8.399,p
0.303,6.949,0.619,p
7.647,1.278,4.761,p
2.175,7.124,5.050,n
9.429,3.028,4.081,n
0.359,4.179,4.918,p
3.867,0.470,4.709,n
3.834,7.764,4.903,n
8.813,6.101,4.672,n
7.886,1.271,9.118,p
7.993,9.169,8.725,n
5.718,2.160,0.935,p
8.194,8.888,7.794,n
4.201,3.053,1.134,p
0.307,4.467,6.864,p
0.301,9.193,9.622,p
0.785,0.703,3.593,p
0.705,8.934,2.080,p
0.072,3.691,0.247,p
1.026,5.808,1.564,p
4.198,0.463,1.322,p
0.205,0.779,0.732,p
6.370,0.846,4.448,p
2.040,2.933,4.709,p
9.503,7.965,2.770,n
2.036,0.018,6.990,p
6.289,5.452,1.562,n
7.063,4.714,6.782,n
2.324,7.620,2.801,n
1.020,2.526,2.834,p
