@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
6.036,9.409,6.733,n
5.556,9.816,1.283,n
5.963,7.675,3.802,p
1.071,5.185,7.844,n
0.918,3.596,1.041,p
3.917,6.446,6.780,n
1.220,2.878,8.426,p
2.912,1.230,0.078,p
0.306,1.494,6.755,p
1.056,1.468,3.260,p
3.816,1.880,6.921,p
0.594,0.902,1.843,p
4.446,7.484,3.724,n
2.771,9.604,0.993,n
0.582,1.085,4.202,p
2.534,1.287,6.822,p
6.268,4.304,1.114,n
1.786,3.624,0.594,n
7.250,3.630,6.231,p
9.227,7.654,7.001,n
3.094,7.879,2.984,n
8.438,4.135,9.054,n
9.320,0.970,2.934,p
6.759,5.244,6.792,n
2.929,8.967,7.097,n
3.049,0.984,2.745,p
4.238,5.898,3.895,n
4.374,1.334,7.744,p
3.411,6.916,9.037,p
7.380,9.969,8.364,n
6.596,8.031,4.691,n
3.514,5.878,0.918,p
2.872,1.375,7.971,p
6.288,6.873,6.941,n
9.699,7.959,7.449,n
2.385,0.004,7.049,p
8.759,5.497,1.194,n
3.373,3.936,7.148,p
9.999,7.632,4.092,n
3.945,4.838,1.074,n
4.302,2.429,7.044,p
1.705,0.204,0.190,p
8.477,7.229,8.867,n
9.159,6.268,0.984,n
8.041,9.324,1.049,n
0.415,8.035,8.168,p
4.480,8.343,9.238,n
8.066,6.756,2.802,p
2.612,0.766,0.657,p
2.315,5.462,1.827,p
4.950,8.346,3.931,n
6.877,9.824,3.427,n
0.544,1.298,0.707,p
2.819,2.422,2.931,p
4.595,1.575,4.458,n
0.011,3.816,4.746,p
5.028,2.010,5.047,p
2.642,0.898,3.995,p
5.292,7.505,6.575,p
6.432,0.438,8.353,n
8.919,6.273,7.339,n
8.047,8.264,5.841,p
0.312,1.331,3.607,p
1.049,8.358,5.585,n
0.775,1.474,2.539,n
0.607,2.688,6.720,p
6.922,6.757,2.909,n
4.647,4.663,1.185,p
4.495,2.687,2.098,p
4.861,0.248,0.036,p
3.440,3.161,8.402,p
0.017,7.507,8.391,p
3.722,3.929,9.988,p
0.483,1.017,8.347,n
5.110,1.898,3.733,p
9.562,8.843,8.120,n
9.134,9.407,5.492,n
6.445,2.862,0.490,n
1.617,2.079,9.060,p
8.873,7.497,4.128,n
0.621,2.775,9.677,p
3.998,4.459,9.539,p
5.872,0.002,3.915,p
9.268,8.256,8.555,n
6.821,9.415,7.217,n
6.473,7.648,4.573,n
0.395,7.823,2.326,n
0.704,5.244,5.829,p
3.881,2.236,6.011,p
8.838,4.753,2.348,n
0.218,4.983,6.745,p
4.206,6.826,1.981,n
2.308,2.214,7.605,p
2.233,4.170,6.653,p
0.601,3.933,8.982,p
8.836,7.327,9.975,n
9.555,1.237,9.643,n
3.727,9.195,1.930,n
0.349,0.626,9.201,p
2.756,0.038,7.557,p
2.339,4.752,9.568,p
3.195,3.619,7.822,p
0.790,1.973,7.529,p
0.647,0.339,5.526,n
0.841,0.964,4.985,p
2.474,2.453,1.533,p
1.023,4.748,8.191,p
1.192,1.896,9.730,p
5.832,9.302,3.722,n
6.516,2.034,0.114,n
0.633,1.014,3.953,n
4.609,1.625,0.148,p
1.459,2.833,5.212,p
9.255,1.088,4.905,n
9.669,1.973,1.267,n
9.755,4.827,0.534,n
3.879,9.042,6.203,n
2.181,3.997,5.179,p
8.973,0.411,5.623,n
7.575,0.381,8.382,p
0.234,6.189,4.895,p
1.796,4.732,1.071,p
1.285,4.306,0.917,p
5.102,0.408,6.364,p
2.629,5.060,3.191,p
6.797,8.954,1.687,n
7.849,1.151,5.307,n
3.598,8.730,5.552,n
8.825,1.046,9.930,n
3.943,7.977,2.648,n
3.126,0.018,0.338,p
8.955,1.320,2.273,n
6.531,0.223,0.026,p
6.382,8.713,7.822,n
5.623,3.503,6.456,n
4.060,2.377,0.584,p
5.069,6.416,8.134,n
1.746,3.094,3.003,p
1.053,2.323,0.388,p
3.355,7.497,6.951,n
3.286,2.392,9.076,p
6.307,6.928,6.652,n
4.695,8.397,6.976,p
1.418,0.287,0.416,p
6.926,6.339,6.970,n
8.196,8.913,0.659,n
2.057,1.120,0.344,p
8.477,8.120,6.342,n
4.238,0.209,2.567,p
6.183,0.310,4.129,p
4.364,7.730,3.468,n
5.379,2.166,8.622,p
1.845,4.946,3.472,p
1.099,6.365,0.809,p
7.879,6.972,7.869,n
0.862,8.884,0.252,n
3.793,8.840,2.336,n
4.609,5.315,7.545,n
1.696,4.388,7.734,p
7.032,8.437,1.546,n
9.751,7.287,1.018,n
9.624,1.016,3.842,n
6.380,1.069,2.064,p
6.934,5.005,6.324,n
4.633,1.418,6.037,p
7.409,9.080,4.300,n
7.491,4.212,2.286,n
8.801,7.740,7.001,n
6.283,0.979,4.196,p
0.381,5.434,1.608,p
3.555,0.566,2.744,p
3.997,0.133,4.186,n
2.120,1.293,7.766,p
8.096,6.343,4.692,n
2.260,9.639,3.531,n
5.483,1.252,8.337,p
2.535,4.261,1.859,p
0.027,7.218,2.812,p
6.593,3.624,9.287,n
8.544,0.571,8.279,n
7.840,1.404,8.313,n
2.336,7.763,3.464,n
2.342,1.393,4.931,p
0.585,4.671,1.444,p
3.004,0.062,1.899,p
9.214,6.087,6.580,n
9.098,6.117,6.167,n
