@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
0.712,6.665,7.527,p
5.584,1.460,7.194,p
0.421,5.529,0.934,p
3.032,1.753,1.674,p
2.963,5.838,0.215,n
3.511,3.942,6.009,p
9.909,1.560,6.353,n
1.213,0.766,1.852,p
5.331,2.356,1.392,p
1.308,1.558,3.919,p
4.130,8.305,0.755,n
1.803,7.808,2.313,n
8.578,8.893,4.208,n
2.327,9.106,0.171,p
0.166,6.011,5.033,p
0.586,1.235,0.140,p
1.532,2.562,2.845,p
0.517,6.800,6.993,p
1.340,6.007,1.256,p
4.072,3.101,8.388,p
5.920,6.251,1.312,n
1.977,7.176,5.059,n
3.489,9.141,9.502,n
5.339,4.900,0.467,n
1.882,5.655,8.357,p
6.834,0.122,9.481,n
1.118,3.964,9.915,p
7.264,6.786,7.513,n
0.271,8.659,1.483,p
4.723,9.604,8.833,n
2.713,3.629,6.987,p
2.758,1.045,5.970,p
8.245,8.424,6.337,n
3.314,3.969,9.030,p
4.964,2.395,6.006,n
8.399,6.644,4.405,n
6.333,8.086,1.301,n
9.394,5.335,9.994,n
3.067,3.460,4.357,p
8.910,7.291,5.646,n
9.892,1.534,2.656,n
7.278,3.612,9.320,n
9.439,9.251,0.218,n
6.926,7.743,2.133,n
8.258,0.198,8.992,p
5.421,2.575,6.167,p
4.236,1.217,1.550,p
5.340,1.608,2.514,p
1.584,4.596,3.658,p
0.435,2.500,6.084,p
2.580,0.244,6.464,p
1.383,1.251,2.591,p
8.289,3.978,4.011,n
6.488,4.383,6.865,n
2.251,4.122,5.604,p
9.069,9.177,2.752,n
1.595,7.660,8.830,n
5.712,1.763,2.506,n
2.176,5.695,7.578,p
6.816,7.172,3.480,n
1.648,7.299,0.407,n
8.079,6.284,2.675,n
9.594,1.391,7.758,n
6.597,7.004,4.451,p
1.648,3.255,1.263,p
9.089,9.594,1.192,p
4.082,1.181,2.955,p
7.496,0.040,1.898,p
2.732,5.857,2.509,n
6.835,7.911,8.087,n
5.454,4.908,8.557,n
2.039,0.039,2.776,p
5.982,8.817,8.294,n
1.703,6.200,5.310,p
3.594,0.035,3.892,p
4.053,8.612,5.844,n
8.979,7.488,4.927,n
5.442,1.521,8.330,p
4.845,4.671,0.454,n
7.447,4.226,3.552,n
4.019,6.889,6.050,n
2.089,2.077,8.860,p
5.610,1.724,7.898,p
8.667,3.296,2.223,n
7.067,8.438,0.305,n
6.225,3.165,4.318,p
5.266,1.386,1.381,p
1.064,3.970,4.924,p
8.889,2.166,0.347,n
7.039,8.149,9.641,n
3.424,8.379,1.181,n
0.952,3.997,4.950,p
1.686,2.317,8.201,p
5.799,2.119,7.149,n
3.795,1.300,4.629,p
1.174,0.910,0.276,p
6.375,7.446,6.868,n
6.630,3.897,6.311,n
6.416,2.431,0.602,n
5.905,3.496,6.054,n
5.222,0.608,3.532,p
1.994,8.801,4.241,n
7.135,7.433,7.211,n
2.516,9.764,1.510,n
4.433,1.282,3.952,p
7.076,8.823,0.246,n
5.841,1.047,6.526,p
4.486,9.880,7.194,n
7.013,5.356,8.968,n
0.436,8.149,6.511,n
3.137,2.983,3.526,p
1.678,1.484,6.872,p
7.280,0.501,0.992,p
1.200,3.027,8.872,p
7.469,9.708,5.430,n
5.514,5.256,5.420,n
3.365,4.561,1.165,p
3.545,4.152,0.182,p
0.914,1.295,9.665,p
2.292,0.261,2.532,p
9.522,3.991,7.235,n
5.345,3.467,9.461,n
6.716,1.186,2.653,n
7.864,6.768,0.872,n
3.897,6.687,2.942,n
1.953,5.608,5.985,p
4.138,2.798,6.954,p
2.671,2.144,3.677,p
3.384,6.057,1.812,n
3.300,1.279,1.401,p
5.631,6.848,2.262,n
1.994,5.676,8.843,p
9.850,3.411,6.011,n
5.184,0.231,3.298,p
3.170,2.693,0.498,p
6.384,2.421,6.796,p
3.524,8.036,6.412,n
0.539,5.085,1.751,p
2.150,4.346,5.460,n
1.038,3.735,6.544,p
5.442,5.448,8.438,n
1.558,9.135,1.419,p
8.791,2.163,8.416,n
3.355,8.886,1.598,n
3.817,4.397,1.179,n
2.698,6.669,7.994,n
0.082,9.523,9.197,n
0.533,4.708,0.374,p
7.041,0.006,0.421,p
1.396,5.081,3.563,p
9.836,9.090,6.549,p
1.938,4.406,5.420,p
3.761,1.090,0.262,p
7.979,2.885,1.555,n
2.392,0.122,9.553,p
9.861,7.075,3.183,n
1.676,3.955,3.891,p
1.427,2.550,3.494,p
2.791,4.678,1.490,p
5.776,5.539,3.913,n
1.958,6.254,0.771,n
0.575,7.463,3.826,n
5.910,1.292,5.385,n
9.868,3.569,8.386,n
2.251,7.093,3.477,n
2.459,2.079,5.077,n
1.216,9.060,7.079,n
3.838,9.232,1.340,n
2.546,0.036,1.209,p
7.633,3.780,4.820,n
2.677,6.384,6.716,n
5.029,8.553,9.678,n
5.387,9.244,9.080,p
0.940,6.781,0.427,p
0.431,5.010,9.906,p
8.355,3.963,9.931,n
8.421,6.461,3.944,n
4.706,9.346,5.522,n
1.494,5.893,8.510,n
2.778,8.650,7.871,n
4.151,9.988,7.909,n
6.375,5.827,4.849,n
6.344,8.471,4.462,n
1.079,3.172,5.086,p
8.215,9.957,8.519,n
2.655,9.692,5.504,n
2.106,2.771,4.804,p
7.375,3.013,8.735,n
8.220,0.751,3.155,n
7.475,0.287,3.155,p
7.498,8.869,0.406,n
6.636,8.729,4.246,n
0.553,9.624,3.349,n
9.640,7.232,2.198,n
5.520,0.092,7.647,p
0.847,8.171,0.351,n
2.094,2.888,4.905,p
0.207,1.048,6.256,p
6.645,9.522,4.325,n
8.042,9.520,8.322,n
7.849,0.082,7.514,p
2.086,0.817,1.199,n
9.890,6.454,1.284,p
9.595,6.074,2.326,n
7.006,1.830,7.662,n
0.742,1.990,9.375,p
3.947,2.101,1.520,p
6.753,0.312,3.708,p
3.107,0.864,4.919,p
5.011,8.702,7.479,n
1.025,5.152,5.113,p
0.032,0.618,7.317,p
8.525,0.662,0.090,n
3.327,0.187,0.088,p
2.001,2.954,5.507,p
2.335,2.107,8.870,p
0.160,1.850,6.401,n
7.615,2.184,1.765,n
2.862,3.443,5.895,p
2.861,2.521,4.228,p
2.486,0.323,2.518,p
3.499,4.543,8.743,n
3.519,3.960,4.713,p
8.716,7.114,1.495,n
0.692,1.868,5.346,p
4.030,3.597,0.495,p
1.355,3.689,8.903,p
9.011,5.395,9.036,n
5.419,4.321,8.715,n
0.742,2.052,7.630,p
1.336,2.082,1.636,p
8.673,0.871,6.438,n
6.706,9.853,0.179,n
3.161,4.804,0.362,p
0.715,0.629,6.584,p
3.062,4.876,9.508,p
3.517,3.970,5.223,n
0.385,5.071,5.700,p
6.996,9.170,7.951,p
7.421,1.654,5.887,n
0.516,7.259,8.216,p
4.904,0.084,2.340,p
8.766,0.594,6.544,n
5.521,1.698,6.156,p
1.546,0.064,9.813,p
6.181,4.396,8.149,n
4.424,8.353,0.540,n
0.973,3.876,4.434,p
5.979,1.804,7.757,n
5.564,7.986,0.649,n
2.298,8.498,4.416,n
4.653,5.075,1.642,n
5.410,4.272,8.879,p
6.110,2.250,8.110,n
2.161,4.540,8.772,p
1.030,0.526,1.517,p
3.216,2.801,0.142,p
4.454,7.408,3.031,n
5.363,2.181,2.410,p
9.053,7.597,3.283,n
9.426,3.443,3.616,n
6.607,4.088,7.867,n
6.698,1.756,3.887,n
9.019,9.599,6.042,n
8.398,2.222,0.659,n
1.532,5.336,7.328,p
1.299,1.338,3.338,p
3.586,1.742,2.350,p
3.605,1.379,8.936,p
8.872,7.191,2.061,n
4.003,1.048,7.186,p
9.941,5.227,6.520,n
6.166,5.678,0.542,n
1.487,0.191,1.299,n
2.882,4.724,0.268,p
6.027,0.969,5.387,p
6.740,9.443,6.432,n
0.962,1.057,9.063,p
9.112,2.345,3.074,n
0.409,5.952,2.768,p
6.204,4.379,2.686,n
3.216,9.710,4.777,p
2.689,1.738,7.061,p
7.598,6.665,4.138,n
6.852,5.969,4.774,n
8.927,8.270,2.592,n
6.225,0.648,4.620,p
6.054,6.375,6.883,n
9.279,4.474,6.110,n
1.163,0.427,5.551,p
1.347,5.777,2.481,p
3.548,3.550,9.108,p
9.904,7.892,2.295,p
5.210,1.072,6.847,p
3.805,0.350,7.682,p
4.571,8.650,1.318,n
5.160,0.984,2.425,n
5.947,8.938,4.332,n
5.536,4.218,7.549,n
0.279,5.827,1.299,p
7.661,9.705,4.920,n
2.330,0.281,8.032,p
0.840,6.728,9.011,p
0.453,3.067,3.079,p
5.375,6.207,8.504,n
1.711,6.276,8.767,p
6.030,9.883,6.344,n
3.018,0.048,4.812,p
1.612,2.596,2.026,p
6.213,3.162,9.083,p
7.007,3.108,2.198,n
0.834,0.705,2.309,p
1.922,2.434,2.142,p
2.875,0.291,0.105,p
4.522,3.042,2.466,p
8.698,1.931,1.947,n
0.088,1.384,0.160,p
1.371,9.138,0.847,n
1.948,0.079,2.797,p
5.428,8.738,5.301,n
2.789,1.799,4.793,p
3.172,2.189,3.969,p
8.803,7.282,5.934,n
0.444,1.943,7.064,n
9.573,9.096,0.229,n
1.907,5.209,5.336,p
8.887,0.149,8.009,n
0.757,4.195,5.862,p
0.608,7.626,9.004,n
7.642,9.444,4.547,n
8.882,6.768,2.767,n
2.547,2.868,0.248,p
0.845,6.253,6.627,p
7.401,1.704,3.720,p
0.187,0.364,3.109,p
0.229,5.121,3.937,p
0.047,5.384,6.201,p
1.626,8.375,2.221,n
6.734,9.713,4.379,n
6.052,7.150,4.105,n
2.719,3.370,9.255,n
5.038,1.719,9.907,n
7.483,2.856,3.473,n
2.255,0.201,6.574,p
2.633,8.766,1.605,p
8.008,2.524,0.157,n
1.105,1.521,3.844,p
7.417,2.079,5.955,n
1.105,8.987,8.735,n
3.891,0.826,8.175,p
0.528,9.622,9.673,n
9.707,1.453,7.193,n
8.413,1.146,2.043,p
2.331,6.165,9.118,n
0.341,0.752,3.681,p
1.557,9.097,4.437,n
4.261,8.593,9.256,n
5.562,4.699,1.762,p
4.023,5.419,2.713,n
1.054,3.953,2.414,p
4.045,0.406,9.284,p
8.073,5.164,6.126,n
9.767,2.563,6.793,n
1.465,1.704,3.931,p
9.870,9.149,8.996,n
5.033,6.423,6.052,p
7.393,1.596,6.336,n
2.688,2.742,2.554,p
1.196,6.718,7.959,p
0.374,6.576,0.438,p
4.149,8.151,1.140,n
9.101,9.751,6.141,n
1.716,8.287,3.981,n
0.498,0.152,5.755,p
0.994,0.871,8.712,p
7.846,4.586,1.172,n
9.638,2.235,6.412,n
1.409,2.230,6.144,p
1.119,0.530,2.953,p
9.979,7.722,1.405,n
2.192,4.261,1.422,p
6.669,8.231,6.664,p
1.613,2.725,8.374,p
0.159,0.168,9.377,p
7.987,6.979,2.596,n
0.731,6.880,6.882,p
8.127,1.896,9.622,n
3.391,3.298,7.949,n
5.885,6.911,9.452,n
8.447,2.230,4.720,n
9.505,1.710,7.542,n
6.212,0.680,1.527,p
5.870,8.422,4.741,n
4.938,4.101,7.836,n
5.575,0.362,2.988,p
1.334,3.335,3.212,n
7.993,3.340,1.490,n
3.873,6.734,9.407,n
4.949,1.685,8.861,p
5.828,9.715,3.170,p
7.014,1.292,0.104,n
7.460,8.042,6.169,n
0.389,3.904,9.550,p
5.114,0.889,7.962,n
0.722,6.395,6.785,p
0.853,6.190,7.560,p
1.755,2.544,2.088,p
1.619,6.968,0.726,n
7.804,6.804,6.408,n
0.042,4.157,6.169,p
9.655,8.389,0.534,n
5.003,2.189,8.597,p
5.371,0.220,2.186,p
3.755,7.680,8.640,n
7.196,9.391,3.014,n
1.527,5.801,1.415,p
0.612,2.602,7.750,n
1.936,4.326,3.916,p
8.889,0.809,7.268,n
1.127,2.292,6.876,p
5.632,1.842,5.036,p
6.799,7.630,1.195,n
1.274,7.179,5.894,n
0.644,4.985,2.039,p
6.825,2.445,1.893,n
9.596,5.483,9.662,n
5.283,1.793,5.669,p
4.335,5.568,5.757,n
9.275,5.539,1.175,n
7.416,3.677,4.438,n
3.732,1.562,2.010,p
2.827,8.323,0.881,n
6.986,3.090,2.994,n
2.108,0.125,7.583,p
9.471,9.326,0.172,n
1.785,1.464,2.516,p
0.376,4.094,9.631,p
9.539,1.688,1.971,n
3.386,6.960,9.289,n
6.232,0.890,5.283,p
1.785,5.408,4.098,p
0.098,2.116,3.561,p
8.340,6.253,0.949,n
7.590,3.067,1.733,n
