@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
3.610,1.326,0.510,p
4.612,8.893,5.603,n
4.207,1.162,9.195,p
9.832,1.454,1.102,p
0.523,1.186,4.586,p
6.708,0.519,3.110,p
2.504,1.381,1.532,p
5.092,3.709,3.376,p
3.893,1.802,8.102,p
6.785,0.889,0.822,p
6.442,2.655,6.847,n
7.113,0.659,1.131,p
6.530,3.866,9.930,n
6.908,6.913,9.674,n
1.562,4.967,7.746,p
0.321,7.302,8.671,p
4.130,5.230,7.417,n
1.901,6.636,0.996,p
5.718,1.284,4.962,p
3.048,4.630,8.774,n
0.736,9.141,2.443,n
3.046,1.457,9.967,p
2.181,0.940,3.351,p
1.389,1.969,2.277,p
9.634,1.864,0.097,n
4.166,7.242,3.450,p
4.728,2.648,0.442,p
8.702,2.603,0.025,n
0.016,5.060,1.480,p
5.978,6.436,2.586,n
7.750,6.282,1.589,n
7.466,8.423,9.016,n
6.159,1.297,8.506,p
3.457,8.081,4.599,n
5.907,1.278,9.325,p
0.437,3.954,9.295,p
4.696,7.766,1.493,n
6.970,3.986,8.082,n
8.770,2.408,6.359,n
9.682,6.931,1.286,n
4.697,6.061,8.165,n
8.337,1.927,3.085,n
0.943,9.166,5.870,p
2.839,3.993,0.800,p
1.799,0.691,0.232,n
3.158,7.494,7.233,n
9.047,3.992,3.172,n
7.311,8.956,4.642,n
6.669,8.648,2.938,p
5.612,1.242,1.788,p
8.417,5.917,8.672,n
5.051,1.136,6.876,p
7.790,0.867,9.800,n
9.167,1.751,1.840,p
1.105,6.141,4.556,p
8.038,5.719,7.340,n
4.557,0.613,2.747,n
4.044,0.193,5.317,p
4.801,0.704,1.211,p
7.050,7.945,9.891,n
4.379,2.553,5.418,p
5.448,8.841,4.530,n
4.953,5.368,1.703,p
0.354,0.139,2.099,p
8.820,2.176,7.284,n
5.945,0.901,8.750,p
1.849,1.833,9.243,p
3.843,5.470,3.591,n
6.090,2.692,6.382,n
9.722,4.824,6.440,n
2.523,2.656,9.702,p
8.961,1.624,2.776,n
6.497,3.183,6.633,n
5.932,8.527,7.173,n
7.408,2.829,4.956,n
1.353,1.187,3.986,p
4.888,0.697,2.757,p
1.349,0.988,0.238,p
4.878,3.229,6.146,p
5.640,6.475,5.923,n
4.069,3.966,5.770,n
1.195,6.442,9.029,p
4.990,2.531,9.096,p
3.606,7.127,3.725,n
4.112,5.890,3.049,n
4.722,1.041,8.890,p
0.706,5.867,1.149,p
3.468,6.508,6.125,p
8.295,6.084,9.702,n
2.642,7.815,3.610,n
6.192,4.181,1.750,p
3.527,0.157,8.032,p
4.835,9.350,4.705,n
3.569,3.696,3.704,p
0.764,0.816,6.752,p
7.707,0.093,3.262,p
1.051,5.119,2.150,p
5.986,4.982,4.334,n
8.693,8.635,8.984,n
3.007,4.007,0.327,p
4.384,1.963,2.328,p
7.556,6.522,3.149,p
4.062,3.582,4.086,p
1.536,9.681,5.960,n
0.654,5.346,4.646,p
8.367,0.400,3.887,n
9.172,2.702,7.807,p
5.981,9.939,5.784,n
3.532,3.164,2.015,p
8.565,7.541,3.827,n
8.298,0.590,6.554,n
1.766,3.575,2.856,p
7.798,1.601,1.262,n
