@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
5.013,7.629,2.928,n
5.628,4.704,7.971,p
5.127,6.611,2.281,n
6.137,0.736,3.212,p
0.504,5.166,2.008,p
7.383,8.657,4.526,n
8.885,9.953,8.932,n
2.738,1.189,9.640,n
0.921,1.248,8.477,p
3.008,7.426,0.630,n
6.237,0.702,2.349,n
1.569,2.413,9.721,p
9.654,1.764,7.807,n
2.196,5.275,8.982,p
7.796,5.656,7.670,n
0.417,9.332,3.479,p
4.370,9.654,3.585,n
5.781,7.272,5.268,p
0.203,5.542,7.037,p
3.235,3.403,2.834,p
8.320,3.065,2.818,n
8.644,3.932,9.009,n
8.088,0.902,1.599,n
6.910,0.047,4.074,p
2.171,6.217,0.893,p
1.723,1.265,0.614,n
3.230,2.057,5.083,n
2.681,3.952,8.689,p
1.043,8.856,8.363,n
8.492,0.760,2.456,p
4.645,3.237,6.497,p
8.146,5.285,5.510,n
8.743,9.730,9.935,n
1.918,3.409,4.584,p
9.818,7.721,0.913,n
3.853,6.750,1.373,n
0.520,5.466,9.367,p
4.179,4.673,3.043,p
3.080,5.392,3.225,n
5.604,3.920,7.125,n
0.585,4.529,4.156,p
6.884,6.198,2.965,n
1.496,2.715,0.115,p
8.588,1.496,2.035,n
5.814,0.676,9.621,p
1.291,2.110,2.507,p
2.893,9.010,1.082,p
3.765,1.215,9.677,p
0.308,5.651,4.572,n
1.457,2.498,1.257,p
6.224,0.436,1.082,p
7.423,8.785,1.343,n
4.317,3.146,6.002,n
9.385,3.742,0.558,p
5.549,6.209,2.632,n
5.517,2.542,7.506,p
1.793,7.133,6.550,n
0.852,6.680,0.912,p
7.250,0.537,1.508,p
1.398,6.248,3.543,p
2.350,3.333,6.138,p
8.045,4.334,8.516,n
5.175,5.926,5.733,n
3.955,0.970,0.332,p
0.395,8.893,4.810,n
4.286,4.656,0.997,n
1.547,1.590,3.746,p
1.615,2.871,2.352,p
4.820,0.321,9.245,p
1.632,2.010,0.249,p
2.831,7.323,7.179,n
6.459,4.306,9.754,n
0.063,0.609,7.793,p
8.988,4.912,9.357,n
0.538,2.435,0.505,p
0.601,2.554,4.075,p
0.513,0.376,9.716,p
3.139,1.080,5.419,p
0.174,5.396,4.865,p
5.714,3.766,6.251,n
9.130,3.076,4.490,n
2.240,1.157,3.117,p
0.820,2.448,0.843,p
7.006,0.480,1.999,n
2.860,3.738,0.985,p
3.139,7.523,5.561,n
0.659,1.694,2.626,p
6.759,2.855,0.635,p
5.572,0.275,0.506,p
3.571,8.598,9.492,n
2.311,4.289,3.624,p
7.094,4.462,9.385,n
7.948,1.182,3.171,p
4.610,4.342,4.414,n
9.363,5.326,9.697,n
2.156,2.770,2.012,p
3.518,2.482,9.824,p
0.377,1.696,0.987,p
7.177,9.002,1.993,n
3.241,6.829,8.631,n
8.004,3.764,0.101,n
5.867,1.847,3.891,p
0.270,3.121,3.828,n
7.033,3.991,9.824,n
9.239,6.928,6.702,n
7.987,3.628,5.936,n
0.030,3.902,1.781,p
6.531,8.995,9.102,n
7.153,3.740,8.868,n
8.973,1.674,6.328,n
7.665,2.246,0.627,n
3.023,2.807,6.054,p
1.903,5.945,6.464,p
4.767,1.008,1.935,p
1.049,7.581,7.362,n
8.164,8.037,7.131,n
1.029,0.645,2.064,p
3.744,4.587,6.805,n
0.838,4.032,5.435,p
4.955,9.627,9.450,n
1.168,4.790,3.541,p
4.208,2.378,6.662,p
0.734,2.710,0.960,p
9.846,5.414,3.863,n
0.918,3.558,8.108,p
0.531,2.186,9.743,p
0.530,3.927,7.784,p
4.347,5.935,9.024,n
4.133,8.742,8.257,n
9.154,3.785,9.991,n
4.214,2.709,4.698,p
4.577,0.739,3.812,p
1.363,2.366,9.202,p
1.110,6.435,3.750,p
3.687,4.777,5.817,n
